dataset,model,seed,training_labels,training_anomalies,n_deploy,auroc,average_precision,n,fdp,power,true_discoveries
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,1555,0.5498392282958199,0.9446693657219973,700
amazon,hgb_attributes,8,864,80,7775,0.9703384985286427,0.90021211469877,1600,0.561875,0.9460188933873145,701
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,25,0.0,0.033738191632928474,25
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,50,0.02,0.06612685560053981,49
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,100,0.03,0.13090418353576247,97
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,200,0.02,0.26450742240215924,196
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,400,0.0225,0.5276653171390013,391
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,800,0.205,0.8582995951417004,636
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,1555,0.547266881028939,0.9500674763832658,704
amazon,hgb_graph_features,8,864,80,7775,0.9738166883274105,0.9020634826683357,1600,0.558125,0.9541160593792173,707
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,25,0.0,0.03351206434316354,25
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,50,0.0,0.06702412868632708,50
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,100,0.01,0.13270777479892762,99
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,200,0.02,0.26273458445040215,196
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,400,0.0325,0.5187667560321716,387
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,800,0.20875,0.8485254691689008,633
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,1555,0.5562700964630225,0.9249329758713136,690
amazon,hgb_attributes,9,864,75,7775,0.9657217685292299,0.8891627727039495,1600,0.568125,0.9262734584450402,691
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,25,0.0,0.03351206434316354,25
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,50,0.0,0.06702412868632708,50
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,100,0.0,0.13404825737265416,100
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,200,0.005,0.2667560321715818,199
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,400,0.015,0.5281501340482574,394
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,800,0.2175,0.839142091152815,626
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,1555,0.5530546623794212,0.9316353887399463,695
amazon,hgb_graph_features,9,864,75,7775,0.9663756089765227,0.8989021603479613,1600,0.564375,0.9343163538873994,697
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,25,0.52,0.005206073752711497,12
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,50,0.62,0.00824295010845987,19
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,100,0.6,0.01735357917570499,40
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,200,0.635,0.0316702819956616,73
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,400,0.65,0.06073752711496746,140
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,800,0.64875,0.12190889370932755,281
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,1600,0.63,0.25683297180043385,592
tolokers,hgb_attributes,0,1176,261,10582,0.7069060252949855,0.3461008188349388,2116,0.6162570888468809,0.35227765726681126,812
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,25,0.24,0.00824295010845987,19
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,50,0.24,0.01648590021691974,38
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,100,0.25,0.03253796095444685,75
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,200,0.32,0.05900216919739696,136
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,400,0.38,0.10759219088937093,248
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,800,0.43125,0.19739696312364424,455
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,1600,0.48625,0.35661605206073754,822
tolokers,hgb_graph_features,0,1176,261,10582,0.7889008482591778,0.47392138387779825,2116,0.5203213610586012,0.4403470715835141,1015
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,25,0.72,0.003023758099352052,7
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,50,0.68,0.006911447084233261,16
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,100,0.65,0.01511879049676026,35
tolokers,hgb_attributes,1,1176,251,10582,0.6968060839879392,0.3341463766069585,200,0.67,0.028509719222462204,66
