dataset,model,label_fraction,design,method,fdp,power,discoveries,nonempty,n_reference,cal_low,cal_high
tolokers,hgb_graph_features,1.0,zero_exposure,filtered_low,0.00458333333333333,0.0012824956672443598,0.96,0.02,6203.7,749.4399999999999,5454.26
tolokers,hgb_graph_features,1.0,zero_exposure,full_random,0.02633333333333333,0.0007912676587297802,0.66,0.08,6203.7,749.4399999999999,5454.26
tolokers,hgb_graph_features,1.0,zero_exposure,stratified,0.004,0.00027491408934707,0.2,0.02,6203.7,749.4399999999999,5454.26
weibo,hgb_attributes,0.25,exposure_80,filtered_low,0.5916537263287119,0.2618117715617715,61.98,0.9,1355.1399999999999,1126.98,228.16
weibo,hgb_attributes,0.25,exposure_80,full_random,0.0,0.0,0.0,0.0,1355.1399999999999,1126.98,228.16
weibo,hgb_attributes,0.25,exposure_80,stratified,0.0,0.0,0.0,0.0,1355.1399999999999,1126.98,228.16
weibo,hgb_attributes,0.25,zero_exposure,filtered_low,0.5904997982731321,0.2602412587412587,61.720000000000006,0.9,1355.1399999999999,1135.54,219.6
weibo,hgb_attributes,0.25,zero_exposure,full_random,0.0,0.0,0.0,0.0,1355.1399999999999,1135.54,219.6
weibo,hgb_attributes,0.25,zero_exposure,stratified,0.0,0.0,0.0,0.0,1355.1399999999999,1135.54,219.6
weibo,hgb_attributes,0.5,exposure_80,filtered_low,0.6561245646853212,0.341525974025974,79.7,1.0,2721.56,2269.24,452.32
weibo,hgb_attributes,0.5,exposure_80,full_random,0.01272727272727272,0.0010389610389610299,0.22000000000000003,0.02,2721.56,2269.24,452.32
weibo,hgb_attributes,0.5,exposure_80,stratified,0.0,0.0,0.0,0.0,2721.56,2269.24,452.32
weibo,hgb_attributes,0.5,zero_exposure,filtered_low,0.6564110637043375,0.34307209457209453,80.28,1.0,2721.56,2161.7799999999997,559.78
weibo,hgb_attributes,0.5,zero_exposure,full_random,0.01272727272727272,0.0010389610389610299,0.22000000000000003,0.02,2721.56,2161.7799999999997,559.78
weibo,hgb_attributes,0.5,zero_exposure,stratified,0.0,0.0,0.0,0.0,2721.56,2161.7799999999997,559.78
weibo,hgb_attributes,1.0,exposure_80,filtered_low,0.6755803169178717,0.3734845987345987,90.78,1.0,5438.1,4536.4,901.7
weibo,hgb_attributes,1.0,exposure_80,full_random,0.015,0.00025,0.08,0.02,5438.1,4536.4,901.7
weibo,hgb_attributes,1.0,exposure_80,stratified,0.0,0.0,0.0,0.0,5438.1,4536.4,901.7
weibo,hgb_attributes,1.0,zero_exposure,filtered_low,0.6753587413178834,0.37079686979686977,90.28,1.0,5438.1,4004.0199999999995,1434.08
weibo,hgb_attributes,1.0,zero_exposure,full_random,0.015,0.00025,0.08,0.02,5438.1,4004.0199999999995,1434.08
weibo,hgb_attributes,1.0,zero_exposure,stratified,0.0,0.0,0.0,0.0,5438.1,4004.0199999999995,1434.08
weibo,hgb_graph_features,0.25,exposure_80,filtered_low,0.6655587366309728,0.6304721944721945,150.78,1.0,1355.1399999999999,1126.98,228.16
weibo,hgb_graph_features,0.25,exposure_80,full_random,0.0,0.0,0.0,0.0,1355.1399999999999,1126.98,228.16
weibo,hgb_graph_features,0.25,exposure_80,stratified,0.0,0.0,0.0,0.0,1355.1399999999999,1126.98,228.16
weibo,hgb_graph_features,0.25,zero_exposure,filtered_low,0.6662691734232806,0.6294688644688644,150.98,1.0,1355.1399999999999,1135.54,219.6
weibo,hgb_graph_features,0.25,zero_exposure,full_random,0.0,0.0,0.0,0.0,1355.1399999999999,1135.54,219.6
weibo,hgb_graph_features,0.25,zero_exposure,stratified,0.0,0.0,0.0,0.0,1355.1399999999999,1135.54,219.6
weibo,hgb_graph_features,0.5,exposure_80,filtered_low,0.6838993475840509,0.7741273726273726,193.9,1.0,2721.56,2269.24,452.32
weibo,hgb_graph_features,0.5,exposure_80,full_random,0.0,0.0,0.0,0.0,2721.56,2269.24,452.32
weibo,hgb_graph_features,0.5,exposure_80,stratified,0.0,0.0,0.0,0.0,2721.56,2269.24,452.32
weibo,hgb_graph_features,0.5,zero_exposure,filtered_low,0.6829297571445356,0.768254329004329,191.95999999999998,1.0,2721.56,2161.7799999999997,559.78
weibo,hgb_graph_features,0.5,zero_exposure,full_random,0.0,0.0,0.0,0.0,2721.56,2161.7799999999997,559.78
weibo,hgb_graph_features,0.5,zero_exposure,stratified,0.0,0.0,0.0,0.0,2721.56,2161.7799999999997,559.78
weibo,hgb_graph_features,1.0,exposure_80,filtered_low,0.697454830968463,0.843254662004662,220.3,1.0,5438.1,4536.4,901.7
weibo,hgb_graph_features,1.0,exposure_80,full_random,0.0,0.0,0.0,0.0,5438.1,4536.4,901.7
weibo,hgb_graph_features,1.0,exposure_80,stratified,0.0,0.0,0.0,0.0,5438.1,4536.4,901.7
weibo,hgb_graph_features,1.0,zero_exposure,filtered_low,0.6945652951687378,0.8257349317349318,214.04000000000002,1.0,5438.1,4004.0199999999995,1434.08
weibo,hgb_graph_features,1.0,zero_exposure,full_random,0.0,0.0,0.0,0.0,5438.1,4004.0199999999995,1434.08
weibo,hgb_graph_features,1.0,zero_exposure,stratified,0.0,0.0,0.0,0.0,5438.1,4004.0199999999995,1434.08
