dataset,model,label_fraction,design,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std,cal_low_mean,cal_low_std,cal_high_mean,cal_high_std,test_low_mean,test_low_std,test_high_mean,test_high_std
tfinance,hgb_attributes,0.5,zero_exposure,full_random,0.09327769117446823,0.011753260489967627,0.650620853500384,0.009884463313763785,291.24,7.458209496178602,263.76,4.08553002137489,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
tfinance,hgb_attributes,0.5,zero_exposure,stratified,0.04524165112349897,0.009769813956634985,0.6330096073901925,0.011217626691046197,268.91999999999996,6.719920634451958,256.62,4.587373976470629,1.0,0.0,13283.039999999999,32.78763994759825,3936.0,0.0,12677.74,31.66674385955463,4896.12,84.129910125815,7781.62,82.11322535242266,3295.3599999999997,57.13460130837247,5559.84,56.99152373623469
tfinance,hgb_attributes,1.0,exposure_80,filtered_low,0.13765770154765022,0.011408673341185935,0.6754852826342365,0.00574990442925764,317.9,6.409194783884942,273.84000000000003,2.474402284727903,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,21152.280000000002,7.3383013474973104,4197.320000000001,8.126882687858838,7082.06,8.03329183945025,1773.14,7.895455795723447
tfinance,hgb_attributes,1.0,exposure_80,full_random,0.094606813081792,0.012568023537998593,0.6521402797346368,0.009513592450539487,292.26,7.938121804166128,264.38,4.226319649266685,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,21152.280000000002,7.3383013474973104,4197.320000000001,8.126882687858838,7082.06,8.03329183945025,1773.14,7.895455795723447
tfinance,hgb_attributes,1.0,exposure_80,stratified,0.03687154705785619,0.007716957906167366,0.6287426521543215,0.014937908683295129,264.74,7.904457251731104,254.9,6.5198841162162395,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,21152.280000000002,7.3383013474973104,4197.320000000001,8.126882687858838,7082.06,8.03329183945025,1773.14,7.895455795723447
tfinance,hgb_attributes,1.0,zero_exposure,filtered_low,0.07127470498630603,0.014365776702943223,0.6326889050007198,0.013441156124322888,276.41999999999996,9.663424743732316,256.5,5.971971570967547,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,7769.160000000001,64.5613437833437,17580.44,63.502076956412225,2611.3,20.1411132871161,6243.9,20.22589099809111
tfinance,hgb_attributes,1.0,zero_exposure,full_random,0.094606813081792,0.012568023537998593,0.6521402797346368,0.009513592450539487,292.26,7.938121804166128,264.38,4.226319649266685,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,7769.160000000001,64.5613437833437,17580.44,63.502076956412225,2611.3,20.1411132871161,6243.9,20.22589099809111
tfinance,hgb_attributes,1.0,zero_exposure,stratified,0.045126844057435216,0.009048024237062028,0.6288544502937894,0.01616538317074188,267.1,8.723531395025773,254.94,6.766617405403615,1.0,0.0,26565.8,0.4216370213563034,3936.0,0.0,25349.6,5.641118880348489,7769.160000000001,64.5613437833437,17580.44,63.502076956412225,2611.3,20.1411132871161,6243.9,20.22589099809111
tfinance,hgb_graph_features,0.25,exposure_80,filtered_low,0.18182861731081373,0.027230855973868366,0.8273964409242783,0.015816788566471174,411.36,20.669634195548273,335.41999999999996,6.23499086696291,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
tfinance,hgb_graph_features,0.25,exposure_80,full_random,0.0922075381315802,0.010128654327582849,0.7869877097392484,0.009086593060764746,351.82,5.548533339741435,319.04,3.537481841335408,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322,5292.9800000000005,22.064239544263984,1050.24,7.6569793870255465,7081.56,12.502373108067715,1773.64,12.61315010437743
