dataset,model,label_fraction,design,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std,cal_low_mean,cal_low_std,cal_high_mean,cal_high_std,test_low_mean,test_low_std,test_high_mean,test_high_std
amazon,hgb_graph_features,0.5,exposure_80,filtered_low,0.13179902608682315,0.022038482564106766,0.8137272453728643,0.019365638810984465,174.06,6.471166819052029,150.78,3.667818001058515,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_graph_features,0.5,exposure_80,full_random,0.0906844406170231,0.021805036922767196,0.7905305694087756,0.018037405335698867,161.38,5.401604699839981,146.48,3.3269271775084603,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_graph_features,0.5,exposure_80,stratified,0.04037171487309337,0.01310886179174015,0.5793934577419005,0.07719005082274742,111.74000000000001,15.021185039802946,107.3,13.83112432161608,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,2241.94,14.883562894832833,402.04,8.095430810031052,1558.5,7.321353851728693,385.2,7.185788443556879
amazon,hgb_graph_features,0.5,zero_exposure,filtered_low,0.11760768987631849,0.0637466398961414,0.7564526163232145,0.08365613315085951,162.8,28.98198674272617,140.16,15.46545972302293,0.9800000000000001,0.06324555320336757,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_graph_features,0.5,zero_exposure,full_random,0.0906844406170231,0.021805036922767196,0.7905305694087756,0.018037405335698867,161.38,5.401604699839981,146.48,3.3269271775084603,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_graph_features,0.5,zero_exposure,stratified,0.04468757419189186,0.012502973055764357,0.6646943685337446,0.041167042553651174,129.14000000000001,8.526585873998261,123.14000000000001,7.175297128961895,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366,238.95999999999998,12.92638988873365,2405.02,21.893773848593064,176.85999999999999,12.741201757378395,1766.8400000000001,12.813118277765152
amazon,hgb_graph_features,1.0,exposure_80,filtered_low,0.13892238763544465,0.02156920235978664,0.8178479710411095,0.021377784146036118,176.26,6.953847855683923,151.54000000000002,3.8850711419197723,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,4502.58,6.5965984500431425,772.92,9.772614798507117,1557.22,7.5480387445276,386.48,7.405223381730844
amazon,hgb_graph_features,1.0,exposure_80,full_random,0.0914836211304898,0.019394692609000654,0.7927919017577001,0.022202317312921136,161.94,5.977030106071813,146.9,4.1464844547318975,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,4502.58,6.5965984500431425,772.92,9.772614798507117,1557.22,7.5480387445276,386.48,7.405223381730844
amazon,hgb_graph_features,1.0,exposure_80,stratified,0.03397198360446495,0.007399550939704277,0.6393834004419382,0.05804684540101562,122.75999999999999,10.98151983004983,118.43999999999998,10.30417391157583,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,4502.58,6.5965984500431425,772.92,9.772614798507117,1557.22,7.5480387445276,386.48,7.405223381730844
amazon,hgb_graph_features,1.0,zero_exposure,filtered_low,0.1553453649403574,0.08593440694785662,0.791231138163735,0.07979302739716986,178.48,33.907613042239085,146.6,14.695728782351837,0.9800000000000001,0.06324555320336758,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,215.44,8.909320961779294,5060.06,12.733525303962736,77.86,4.239549242287176,1865.8400000000001,4.272704061832512
amazon,hgb_graph_features,1.0,zero_exposure,full_random,0.0914836211304898,0.019394692609000654,0.7927919017577001,0.022202317312921136,161.94,5.977030106071813,146.9,4.1464844547318975,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,215.44,8.909320961779294,5060.06,12.733525303962736,77.86,4.239549242287176,1865.8400000000001,4.272704061832512
amazon,hgb_graph_features,1.0,zero_exposure,stratified,0.04636437413067173,0.00962588211991744,0.6970225107458102,0.0329322732553572,135.62,6.5302373616890845,129.14000000000001,5.764296237279195,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052,215.44,8.909320961779294,5060.06,12.733525303962736,77.86,4.239549242287176,1865.8400000000001,4.272704061832512
tolokers,hgb_attributes,0.25,exposure_80,filtered_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,1276.56,17.799076130830823,273.12,5.463576362298461,2115.12,9.199613518452246,530.28,8.845940688624767
tolokers,hgb_attributes,0.25,exposure_80,full_random,0.009411764705882352,0.029762613272172982,0.000310880829015544,0.0009830915005704806,0.33999999999999997,1.0751744044572489,0.18,0.5692099788303083,0.02,0.06324555320336758,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,1276.56,17.799076130830823,273.12,5.463576362298461,2115.12,9.199613518452246,530.28,8.845940688624767
tolokers,hgb_attributes,0.25,exposure_80,stratified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,1276.56,17.799076130830823,273.12,5.463576362298461,2115.12,9.199613518452246,530.28,8.845940688624767
tolokers,hgb_attributes,0.25,zero_exposure,filtered_low,0.027872807017543855,0.05940679783072874,0.0018652849740932644,0.004321088741277799,3.44,7.313184440903065,1.08,2.501910381199845,0.04,0.0843274042711568,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,442.76000000000005,14.0604409603682,1106.92,10.19245908611963,674.1600000000001,10.899459721574416,1971.2400000000002,11.095865095711174
tolokers,hgb_attributes,0.25,zero_exposure,full_random,0.009411764705882352,0.029762613272172982,0.000310880829015544,0.0009830915005704806,0.33999999999999997,1.0751744044572489,0.18,0.5692099788303083,0.02,0.06324555320336758,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,442.76000000000005,14.0604409603682,1106.92,10.19245908611963,674.1600000000001,10.899459721574416,1971.2400000000002,11.095865095711174
tolokers,hgb_attributes,0.25,zero_exposure,stratified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987.0400000000002,21.345371603438736,1176.0,0.0,1549.6799999999998,17.737393019018096,442.76000000000005,14.0604409603682,1106.92,10.19245908611963,674.1600000000001,10.899459721574416,1971.2400000000002,11.095865095711174
