phase,dataset,model,label_fraction,design,scenario,mean,std,count,lower,upper,method,metric
acquisition,weibo_gadbench,hgb_graph_features,0.0,exposure_80,severe,0.01337032161165288,0.011318150447640302,10,0.005273804526118421,0.021466838697187338,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,moderate,0.0035606179803087242,0.013836063971660107,10,-0.006337105933270237,0.013458341893887685,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,neutral,0.023940205277274303,0.023692430801411264,10,0.006991661284252666,0.04088874927029594,pooled_stratum,fdp
acquisition,weibo_gadbench,hgb_graph_features,0.0,zero_exposure,severe,0.01327664278511188,0.009519265803206552,10,0.006466970253017687,0.020086315317206074,pooled_stratum,fdp
allocation,amazon,hgb_attributes,0.25,exposure_80,uniform,0.03384365316293465,0.013190840867862215,10,0.02440749405254934,0.043279812273319965,pooled_stratum,fdp
allocation,amazon,hgb_attributes,0.25,zero_exposure,uniform,0.0417617441525406,0.016969628624138162,10,0.0296224031245059,0.053901085180575306,pooled_stratum,fdp
allocation,amazon,hgb_attributes,0.5,exposure_80,uniform,0.050332258022413236,0.024115166232951176,10,0.033081307319041034,0.06758320872578544,pooled_stratum,fdp
allocation,amazon,hgb_attributes,0.5,zero_exposure,uniform,0.04596080061545692,0.01574029866246952,10,0.03470086926521853,0.057220731965695305,pooled_stratum,fdp
allocation,amazon,hgb_attributes,1.0,exposure_80,uniform,0.05653283132279254,0.01886971291953558,10,0.043034251872118894,0.0700314107734662,pooled_stratum,fdp
allocation,amazon,hgb_attributes,1.0,zero_exposure,uniform,0.047688468503303265,0.014067457790459988,10,0.037625215423446885,0.057751721583159644,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,0.25,exposure_80,uniform,0.04405082767285477,0.03355633886182946,10,0.020046068928953276,0.06805558641675627,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,0.25,zero_exposure,uniform,0.033991800291829244,0.01907276852778205,10,0.020347963609500405,0.04763563697415808,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,0.5,exposure_80,uniform,0.04842469029240652,0.027707706948120168,10,0.028603790778457393,0.06824558980635564,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,0.5,zero_exposure,uniform,0.043919227000372214,0.01818941821422031,10,0.03090730106524112,0.05693115293550331,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,0.06225548432157726,0.0189519922298292,10,0.04869804579806656,0.07581292284508795,pooled_stratum,fdp
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,0.042236847022254956,0.01603857200863082,10,0.030763543773973105,0.053710150270536806,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,0.055904308301556904,0.016476988001820663,10,0.04411738114485871,0.0676912354582551,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,0.04489061480560742,0.011534978139623604,10,0.03663898853320703,0.053142241078007815,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,0.5,exposure_80,uniform,0.05814909710143105,0.013956243429881027,10,0.04816540198245794,0.06813279222040415,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,0.5,zero_exposure,uniform,0.046521569416607025,0.008082734106589886,10,0.04073952975433332,0.05230360907888073,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,1.0,exposure_80,uniform,0.06325523804385073,0.009044024658928734,10,0.05678553254631708,0.0697249435413844,pooled_stratum,fdp
allocation,tfinance,hgb_attributes,1.0,zero_exposure,uniform,0.047704166227606995,0.0062725515707705995,10,0.0432170531433991,0.05219127931181489,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,0.25,exposure_80,uniform,0.052040899208464574,0.007242765353081063,10,0.046859736994812974,0.05722206142211617,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,0.25,zero_exposure,uniform,0.0481454977195692,0.005261538370147786,10,0.04438161991045435,0.05190937552868405,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,0.5,exposure_80,uniform,0.057503332228105684,0.01044928445152805,10,0.0500283644332532,0.06497830002295817,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,0.5,zero_exposure,uniform,0.050735180553914794,0.003807114089140858,10,0.04801173519842966,0.053458625909399926,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,1.0,exposure_80,uniform,0.06247187241219974,0.009450454250892876,10,0.05571142469926369,0.06923232012513578,pooled_stratum,fdp
allocation,tfinance,hgb_graph_features,1.0,zero_exposure,uniform,0.0517697725504376,0.004575126726925538,10,0.04849692405064045,0.05504262105023475,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,0.25,exposure_80,uniform,-0.007272805330674777,0.015220362518167423,10,-0.018160796769422897,0.003615186108073344,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,0.25,zero_exposure,uniform,0.02302177091360275,0.030857939456762754,10,0.0009473308191828532,0.04509621100802265,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,0.5,exposure_80,uniform,0.04550593339560057,0.030821036512615488,10,0.023457892077127073,0.06755397471407407,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,0.5,zero_exposure,uniform,0.05062927642647831,0.012680835568227534,10,0.041557953129268306,0.05970059972368832,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,1.0,exposure_80,uniform,0.06241332346883893,0.018753709205209558,10,0.04899772807632665,0.07582891886135122,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_attributes,1.0,zero_exposure,uniform,0.053718373979801656,0.008096030611525418,10,0.047926822570897046,0.05950992538870627,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,0.25,exposure_80,uniform,-0.0040264682904362125,0.012685089597798384,10,-0.013100834737077925,0.005047898156205501,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,0.25,zero_exposure,uniform,0.02580404687603182,0.023653132150716977,10,0.00888361544417967,0.04272447830788397,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,0.5,exposure_80,uniform,0.020295295703882076,0.032697231315724495,10,-0.003094894523941724,0.043685485931705875,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,0.5,zero_exposure,uniform,0.042812148855173676,0.016318612469063104,10,0.031138516729570385,0.05448578098077697,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,1.0,exposure_80,uniform,0.03797011716798536,0.04455480044939691,10,0.006097532972364407,0.06984270136360632,pooled_stratum,fdp
allocation,weibo_gadbench,hgb_graph_features,1.0,zero_exposure,uniform,0.05506729556835861,0.012081972459341526,10,0.046424373131821274,0.06371021800489594,pooled_stratum,fdp
acquisition,amazon,hgb_attributes,0.0,exposure_80,moderate,-0.06258451506322442,0.09190334613616175,10,-0.12832820840354014,0.003159178277091293,size_alpha,power
