dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
amazon,hgb_attributes,0.25,0.2,random,1,0.11162798733418855,0.787672131147541,162.7,1.0,1055.0,1318.2
amazon,hgb_attributes,0.25,0.2,random,2,0.10125158683308008,0.7599344262295082,154.85999999999999,1.0,1067.2,1333.6
amazon,hgb_attributes,0.25,0.2,random,3,0.05879731052546609,0.7721075268817204,153.904,1.0,1078.4,1347.6
amazon,hgb_attributes,0.25,0.2,random,4,0.07221607652783096,0.7518695652173915,149.35999999999999,1.0,1082.6,1352.6
amazon,hgb_attributes,0.25,0.2,random,5,0.08025174681215871,0.7701290322580645,155.94,1.0,1055.2,1318.6
amazon,hgb_attributes,0.25,0.2,random,6,0.08204098690437375,0.7609148936170212,156.06,1.0,1040.0,1299.6
amazon,hgb_attributes,0.25,0.2,random,7,0.10940616802936964,0.7940320855614973,167.276,1.0,1043.4,1303.8
amazon,hgb_attributes,0.25,0.2,random,8,0.09303909842263683,0.7741837837837837,158.05599999999998,1.0,1060.4,1325.0
amazon,hgb_attributes,0.25,0.2,random,9,0.06668384890794984,0.7728172043010753,154.572,1.0,1058.0,1322.0
amazon,hgb_attributes,0.25,0.4,exposure,0,0.1532784074450741,0.8151351351351351,178.2,1.0,808.6,1347.2
amazon,hgb_attributes,0.25,0.4,exposure,1,0.16290680575279373,0.8174863387978142,180.4,1.0,791.2,1318.2
amazon,hgb_attributes,0.25,0.4,exposure,2,0.13029183185180898,0.7792349726775957,164.2,1.0,800.6,1333.6
amazon,hgb_attributes,0.25,0.4,exposure,3,0.11501229513315,0.8451612903225806,178.0,1.0,809.0,1347.6
amazon,hgb_attributes,0.25,0.4,exposure,4,0.10640967961826857,0.7804347826086956,160.8,1.0,812.0,1352.6
amazon,hgb_attributes,0.25,0.4,exposure,5,0.12810233071757057,0.8204301075268818,175.2,1.0,791.4,1318.6
amazon,hgb_attributes,0.25,0.4,exposure,6,0.09967248437836672,0.7691489361702126,160.8,1.0,780.2,1299.6
amazon,hgb_attributes,0.25,0.4,exposure,7,0.16337485719077216,0.839572192513369,188.2,1.0,782.6,1303.8
amazon,hgb_attributes,0.25,0.4,exposure,8,0.13502305875315876,0.7913513513513514,170.0,1.0,795.2,1325.0
