phase,dataset,model,label_fraction,design,scenario,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,true_discoveries_mean,true_discoveries_std,nonempty_mean,nonempty_std,reference_labels_mean,reference_labels_std,training_labels_mean,training_labels_std,n_reference_mean,n_reference_std
allocation,amazon,hgb_graph_features,0.5,zero_exposure,uniform,pooled_stratum,0.08860680119226408,0.02315320637993281,0.7810370191102068,0.014676154215532847,159.16,5.689600649918712,144.72,2.6469269393434782,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366
allocation,amazon,hgb_graph_features,0.5,zero_exposure,uniform,size_alpha,0.08025532962696132,0.016972848516660883,0.7163141414446703,0.0173843738810526,144.54000000000002,4.109663408763947,132.72,2.8019041144669288,1.0,0.0,2922.7799999999997,18.56123798553199,864.0,0.0,2643.98,15.041114024935366
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,equal_alpha,0.03397198360446495,0.007399550939704277,0.6393834004419382,0.05804684540101562,122.75999999999999,10.98151983004983,118.43999999999998,10.30417391157583,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,filtered_low,0.13892238763544465,0.02156920235978664,0.8178479710411095,0.021377784146036118,176.26,6.953847855683923,151.54000000000002,3.8850711419197723,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,pooled_reference,0.0914836211304898,0.019394692609000654,0.7927919017577001,0.022202317312921136,161.94,5.977030106071813,146.9,4.1464844547318975,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,pooled_stratum,0.09622746792604221,0.020196493212795454,0.5161848253457592,0.1345241042982178,106.17999999999999,28.21527561052306,95.62,24.900593477978703,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,exposure_80,uniform,size_alpha,0.07343310542977366,0.03439500875706378,0.2580885610881937,0.12333290445192469,50.7,22.801997963141545,47.839999999999996,22.93077505110642,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,equal_alpha,0.04636437413067173,0.00962588211991744,0.6970225107458102,0.0329322732553572,135.62,6.5302373616890845,129.14000000000001,5.764296237279195,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,filtered_low,0.1553453649403574,0.08593440694785662,0.791231138163735,0.07979302739716986,178.48,33.907613042239085,146.6,14.695728782351837,0.9800000000000001,0.06324555320336758,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,pooled_reference,0.0914836211304898,0.019394692609000654,0.7927919017577001,0.022202317312921136,161.94,5.977030106071813,146.9,4.1464844547318975,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,pooled_stratum,0.08860122115292668,0.018166911810378914,0.7886888097625768,0.020251378966512017,160.57999999999998,5.390897678288628,146.14000000000001,3.8018124332715035,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,amazon,hgb_graph_features,1.0,zero_exposure,uniform,size_alpha,0.08800321115789557,0.01756186222776911,0.7641948141941823,0.017848521625485447,155.48,4.593909010853385,141.6,3.299831645537224,1.0,0.0,5831.3,0.48304589153955846,864.0,0.0,5275.5,5.169354139757052
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,equal_alpha,0.0366469048906356,0.00963102715596365,0.6233307934773494,0.01755858016416429,262.5,9.299103899480487,252.7,7.296422258735982,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,filtered_low,0.11909248770818034,0.013198412902756858,0.6646283844456049,0.008081296043449222,306.74,8.25270326081769,269.44,3.491959017196191,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,pooled_reference,0.09299338257119841,0.015400370626766935,0.6504172131434698,0.01128728416487307,291.15999999999997,9.739176328394278,263.68,4.802962049032292,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,pooled_stratum,0.09255121319219249,0.013822493410038024,0.6070670744539071,0.028925131251972866,271.64,15.901027220486952,246.1,11.684842983778417,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,exposure_80,uniform,size_alpha,0.013927465298216618,0.007456398024905702,0.567463035124266,0.03568296408343642,233.48000000000002,16.121538388131576,230.04000000000002,14.358520505647899,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,equal_alpha,0.04550738909142995,0.00993322383133576,0.6330184253868553,0.014996379081049463,269.1,8.332133246920893,256.62,5.94227790217411,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
allocation,tfinance,hgb_attributes,0.25,zero_exposure,uniform,filtered_low,0.06715856134200708,0.012626917181578904,0.6265190409930973,0.014151930939113995,272.84000000000003,9.922275724628697,254.0,6.294265467691819,1.0,0.0,6644.7,24.585135527161107,3936.0,0.0,6343.219999999999,22.25238064667322
