dataset,model,seed,n,fdp,power,true_discoveries
amazon,isolation_forest,1,400,0.6475,0.17174177831912302,141
amazon,isolation_forest,1,800,0.64,0.3507917174177832,288
amazon,isolation_forest,1,1600,0.6725,0.6382460414129111,524
amazon,isolation_forest,1,1727,0.6734221192819919,0.6869671132764921,564
amazon,isolation_forest,2,25,0.96,0.001218026796589525,1
amazon,isolation_forest,2,50,0.84,0.0097442143727162,8
amazon,isolation_forest,2,100,0.78,0.02679658952496955,22
amazon,isolation_forest,2,200,0.72,0.0682095006090134,56
amazon,isolation_forest,2,400,0.68,0.1559074299634592,128
amazon,isolation_forest,2,800,0.66875,0.3227771010962241,265
amazon,isolation_forest,2,1600,0.693125,0.5980511571254568,491
amazon,isolation_forest,2,1727,0.6867400115807759,0.658952496954933,541
amazon,isolation_forest,3,25,0.8,0.0060901339829476245,5
amazon,isolation_forest,3,50,0.76,0.014616321559074299,12
amazon,isolation_forest,3,100,0.77,0.028014616321559074,23
amazon,isolation_forest,3,200,0.72,0.0682095006090134,56
amazon,isolation_forest,3,400,0.7025,0.14494518879415347,119
amazon,isolation_forest,3,800,0.68,0.3118148599269184,256
amazon,isolation_forest,3,1600,0.71375,0.5578562728380024,458
amazon,isolation_forest,3,1727,0.711638679791546,0.6065773447015834,498
amazon,isolation_forest,4,25,0.96,0.001218026796589525,1
amazon,isolation_forest,4,50,0.88,0.007308160779537149,6
amazon,isolation_forest,4,100,0.81,0.023142509135200974,19
amazon,isolation_forest,4,200,0.775,0.05481120584652863,45
amazon,isolation_forest,4,400,0.755,0.11936662606577345,98
amazon,isolation_forest,4,800,0.7425,0.25091352009744217,206
amazon,isolation_forest,4,1600,0.75375,0.47990255785627284,394
amazon,isolation_forest,4,1727,0.7492762015055009,0.5274056029232643,433
amazon,isolation_forest,5,25,0.96,0.001218026796589525,1
amazon,isolation_forest,5,50,0.96,0.00243605359317905,2
amazon,isolation_forest,5,100,0.82,0.02192448233861145,18
amazon,isolation_forest,5,200,0.81,0.04628501827040195,38
amazon,isolation_forest,5,400,0.7325,0.13032886723507917,107
amazon,isolation_forest,5,800,0.69375,0.2984165651644336,245
amazon,isolation_forest,5,1600,0.703125,0.5785627283800243,475
amazon,isolation_forest,5,1727,0.7064273306311523,0.6175395858708892,507
amazon,isolation_forest,6,25,0.92,0.00243605359317905,2
amazon,isolation_forest,6,50,0.84,0.0097442143727162,8
amazon,isolation_forest,6,100,0.81,0.023142509135200974,19
amazon,isolation_forest,6,200,0.76,0.058465286236297195,48
amazon,isolation_forest,6,400,0.7,0.146163215590743,120
amazon,isolation_forest,6,800,0.68875,0.3032886723507917,249
amazon,isolation_forest,6,1600,0.713125,0.559074299634592,459
amazon,isolation_forest,6,1727,0.7151129125651419,0.5992691839220463,492
amazon,isolation_forest,7,25,0.96,0.001218026796589525,1
amazon,isolation_forest,7,50,0.84,0.0097442143727162,8
amazon,isolation_forest,7,100,0.78,0.02679658952496955,22
amazon,isolation_forest,7,200,0.705,0.07186358099878197,59
amazon,isolation_forest,7,400,0.72,0.1364190012180268,112
amazon,isolation_forest,7,800,0.70875,0.2838002436053593,233
amazon,isolation_forest,7,1600,0.718125,0.5493300852618758,451
amazon,isolation_forest,7,1727,0.7174290677475391,0.5943970767356882,488
amazon,isolation_forest,8,25,0.92,0.00243605359317905,2
amazon,isolation_forest,8,50,0.84,0.0097442143727162,8
amazon,isolation_forest,8,100,0.8,0.024360535931790498,20
amazon,isolation_forest,8,200,0.705,0.07186358099878197,59
amazon,isolation_forest,8,400,0.6575,0.1668696711327649,137
amazon,isolation_forest,8,800,0.635,0.3556638246041413,292
amazon,isolation_forest,8,1600,0.673125,0.6370280146163215,523
amazon,isolation_forest,8,1727,0.6711059640995947,0.6918392204628502,568
amazon,isolation_forest,9,25,0.88,0.0036540803897685747,3
amazon,isolation_forest,9,50,0.86,0.008526187576126675,7
amazon,isolation_forest,9,100,0.82,0.02192448233861145,18
amazon,isolation_forest,9,200,0.71,0.07064555420219244,58
amazon,isolation_forest,9,400,0.7025,0.14494518879415347,119
amazon,isolation_forest,9,800,0.7125,0.2801461632155907,230
amazon,isolation_forest,9,1600,0.72375,0.53836784409257,442
amazon,isolation_forest,9,1727,0.7295888824551245,0.5688185140073082,467
amazon,dominant_degree_normalized,0,25,0.96,0.001218026796589525,1
amazon,dominant_degree_normalized,0,50,0.92,0.0048721071863581,4
amazon,dominant_degree_normalized,0,100,0.88,0.014616321559074299,12
amazon,dominant_degree_normalized,0,200,0.865,0.03288672350791717,27
amazon,dominant_degree_normalized,0,400,0.86,0.0682095006090134,56
amazon,dominant_degree_normalized,0,800,0.87125,0.12545676004872108,103
amazon,dominant_degree_normalized,0,1600,0.9,0.19488428745432398,160
amazon,dominant_degree_normalized,0,1727,0.9044585987261147,0.20097442143727162,165
amazon,dominant_degree_normalized,1,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,1,50,0.86,0.008526187576126675,7
amazon,dominant_degree_normalized,1,100,0.88,0.014616321559074299,12
amazon,dominant_degree_normalized,1,200,0.825,0.04263093788063337,35
amazon,dominant_degree_normalized,1,400,0.8375,0.07917174177831912,65
amazon,dominant_degree_normalized,1,800,0.86375,0.13276492082825822,109
amazon,dominant_degree_normalized,1,1600,0.89625,0.20219244823386115,166
amazon,dominant_degree_normalized,1,1727,0.8963520555877244,0.21802679658952498,179
amazon,dominant_degree_normalized,2,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,2,50,0.9,0.0060901339829476245,5
amazon,dominant_degree_normalized,2,100,0.87,0.015834348355663823,13
amazon,dominant_degree_normalized,2,200,0.845,0.037758830694275276,31
amazon,dominant_degree_normalized,2,400,0.8525,0.07186358099878197,59
amazon,dominant_degree_normalized,2,800,0.8725,0.12423873325213154,102
amazon,dominant_degree_normalized,2,1600,0.9025,0.1900121802679659,156
amazon,dominant_degree_normalized,2,1727,0.9061957151129125,0.19732034104750304,162
amazon,dominant_degree_normalized,3,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,3,50,0.88,0.007308160779537149,6
amazon,dominant_degree_normalized,3,100,0.87,0.015834348355663823,13
amazon,dominant_degree_normalized,3,200,0.81,0.04628501827040195,38
amazon,dominant_degree_normalized,3,400,0.8325,0.08160779537149818,67
amazon,dominant_degree_normalized,3,800,0.8625,0.13398294762484775,110
amazon,dominant_degree_normalized,3,1600,0.896875,0.20097442143727162,165
amazon,dominant_degree_normalized,3,1727,0.8998262883613202,0.21071863580998781,173
amazon,dominant_degree_normalized,4,25,0.96,0.001218026796589525,1
amazon,dominant_degree_normalized,4,50,0.92,0.0048721071863581,4
amazon,dominant_degree_normalized,4,100,0.89,0.013398294762484775,11
amazon,dominant_degree_normalized,4,200,0.85,0.03654080389768575,30
amazon,dominant_degree_normalized,4,400,0.86,0.0682095006090134,56
amazon,dominant_degree_normalized,4,800,0.87875,0.11814859926918392,97
amazon,dominant_degree_normalized,4,1600,0.905625,0.18392204628501826,151
amazon,dominant_degree_normalized,4,1727,0.9073537927041112,0.19488428745432398,160
amazon,dominant_degree_normalized,5,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,5,50,0.86,0.008526187576126675,7
amazon,dominant_degree_normalized,5,100,0.88,0.014616321559074299,12
amazon,dominant_degree_normalized,5,200,0.845,0.037758830694275276,31
amazon,dominant_degree_normalized,5,400,0.8525,0.07186358099878197,59
amazon,dominant_degree_normalized,5,800,0.8775,0.11936662606577345,98
amazon,dominant_degree_normalized,5,1600,0.899375,0.1961023142509135,161
amazon,dominant_degree_normalized,5,1727,0.9021424435437174,0.20584652862362973,169
amazon,dominant_degree_normalized,6,25,0.96,0.001218026796589525,1
amazon,dominant_degree_normalized,6,50,0.94,0.0036540803897685747,3
amazon,dominant_degree_normalized,6,100,0.9,0.012180267965895249,10
amazon,dominant_degree_normalized,6,200,0.87,0.031668696711327646,26
amazon,dominant_degree_normalized,6,400,0.8725,0.06211936662606577,51
amazon,dominant_degree_normalized,6,800,0.885,0.1120584652862363,92
amazon,dominant_degree_normalized,6,1600,0.906875,0.1814859926918392,149
amazon,dominant_degree_normalized,6,1727,0.9073537927041112,0.19488428745432398,160
amazon,dominant_degree_normalized,7,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,7,50,0.9,0.0060901339829476245,5
amazon,dominant_degree_normalized,7,100,0.86,0.01705237515225335,14
amazon,dominant_degree_normalized,7,200,0.825,0.04263093788063337,35
amazon,dominant_degree_normalized,7,400,0.8375,0.07917174177831912,65
amazon,dominant_degree_normalized,7,800,0.8675,0.12911084043848964,106
amazon,dominant_degree_normalized,7,1600,0.89625,0.20219244823386115,166
amazon,dominant_degree_normalized,7,1727,0.8980891719745223,0.2143727161997564,176
amazon,dominant_degree_normalized,8,25,1.0,0.0,0
amazon,dominant_degree_normalized,8,50,0.92,0.0048721071863581,4
amazon,dominant_degree_normalized,8,100,0.91,0.010962241169305725,9
amazon,dominant_degree_normalized,8,200,0.87,0.031668696711327646,26
amazon,dominant_degree_normalized,8,400,0.8675,0.06455542021924482,53
amazon,dominant_degree_normalized,8,800,0.88375,0.11327649208282582,93
amazon,dominant_degree_normalized,8,1600,0.904375,0.18635809987819732,153
amazon,dominant_degree_normalized,8,1727,0.9056166763173132,0.19853836784409257,163
amazon,dominant_degree_normalized,9,25,0.92,0.00243605359317905,2
amazon,dominant_degree_normalized,9,50,0.9,0.0060901339829476245,5
amazon,dominant_degree_normalized,9,100,0.89,0.013398294762484775,11
amazon,dominant_degree_normalized,9,200,0.86,0.0341047503045067,28
amazon,dominant_degree_normalized,9,400,0.86,0.0682095006090134,56
amazon,dominant_degree_normalized,9,800,0.8775,0.11936662606577345,98
amazon,dominant_degree_normalized,9,1600,0.900625,0.19366626065773446,159
amazon,dominant_degree_normalized,9,1727,0.903300521134916,0.20341047503045068,167
tolokers,dominant_pygod,0,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,0,50,0.26,0.014419329696024942,37
tolokers,dominant_pygod,0,100,0.32,0.026500389711613406,68
tolokers,dominant_pygod,0,200,0.41,0.04598597038191738,118
tolokers,dominant_pygod,0,400,0.4975,0.07833203429462197,201
tolokers,dominant_pygod,0,800,0.5925,0.1270459859703819,326
tolokers,dominant_pygod,0,1600,0.676875,0.2014809041309431,517
tolokers,dominant_pygod,0,2351,0.7137388345384943,0.2622759158222915,673
tolokers,dominant_pygod,1,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,1,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,1,100,0.32,0.026500389711613406,68
tolokers,dominant_pygod,1,200,0.415,0.045596258768511304,117
tolokers,dominant_pygod,1,400,0.495,0.07872174590802807,202
tolokers,dominant_pygod,1,800,0.59125,0.127435697583788,327
tolokers,dominant_pygod,1,1600,0.676875,0.2014809041309431,517
tolokers,dominant_pygod,1,2351,0.7137388345384943,0.2622759158222915,673
tolokers,dominant_pygod,2,25,0.24,0.0074045206547155105,19
tolokers,dominant_pygod,2,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,2,100,0.33,0.026110678098207326,67
tolokers,dominant_pygod,2,200,0.405,0.04637568199532346,119
tolokers,dominant_pygod,2,400,0.4925,0.07911145752143414,203
tolokers,dominant_pygod,2,800,0.595,0.12626656274356976,324
tolokers,dominant_pygod,2,1600,0.678125,0.20070148090413095,515
tolokers,dominant_pygod,2,2351,0.7145895363675032,0.26149649259547936,671
tolokers,dominant_pygod,3,25,0.24,0.0074045206547155105,19
tolokers,dominant_pygod,3,50,0.22,0.015198752922837101,39
tolokers,dominant_pygod,3,100,0.31,0.026890101325019487,69
tolokers,dominant_pygod,3,200,0.415,0.045596258768511304,117
tolokers,dominant_pygod,3,400,0.495,0.07872174590802807,202
tolokers,dominant_pygod,3,800,0.5925,0.1270459859703819,326
tolokers,dominant_pygod,3,1600,0.675625,0.20226032735775526,519
tolokers,dominant_pygod,3,2351,0.7137388345384943,0.2622759158222915,673
tolokers,dominant_pygod,4,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,4,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,4,100,0.32,0.026500389711613406,68
tolokers,dominant_pygod,4,200,0.41,0.04598597038191738,118
tolokers,dominant_pygod,4,400,0.495,0.07872174590802807,202
tolokers,dominant_pygod,4,800,0.59375,0.12665627435697585,325
tolokers,dominant_pygod,4,1600,0.676875,0.2014809041309431,517
tolokers,dominant_pygod,4,2351,0.7137388345384943,0.2622759158222915,673
tolokers,dominant_pygod,5,25,0.24,0.0074045206547155105,19
tolokers,dominant_pygod,5,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,5,100,0.32,0.026500389711613406,68
tolokers,dominant_pygod,5,200,0.415,0.045596258768511304,117
tolokers,dominant_pygod,5,400,0.4925,0.07911145752143414,203
tolokers,dominant_pygod,5,800,0.59,0.12782540919719407,328
tolokers,dominant_pygod,5,1600,0.67625,0.20187061574434917,518
tolokers,dominant_pygod,5,2351,0.7137388345384943,0.2622759158222915,673
tolokers,dominant_pygod,6,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,6,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,6,100,0.33,0.026110678098207326,67
tolokers,dominant_pygod,6,200,0.4,0.04676539360872954,120
tolokers,dominant_pygod,6,400,0.495,0.07872174590802807,202
tolokers,dominant_pygod,6,800,0.5925,0.1270459859703819,326
tolokers,dominant_pygod,6,1600,0.676875,0.2014809041309431,517
tolokers,dominant_pygod,6,2351,0.7145895363675032,0.26149649259547936,671
tolokers,dominant_pygod,7,25,0.28,0.007014809041309431,18
tolokers,dominant_pygod,7,50,0.24,0.014809041309431021,38
tolokers,dominant_pygod,7,100,0.31,0.026890101325019487,69
