dataset,model,label_fraction,removed,method,fdp_mean,fdp_std,power_mean,power_std,discoveries_mean,discoveries_std,nonempty_mean,nonempty_std,n_calib_mean,n_calib_std,pool_size_mean,pool_size_std
amazon,hgb_attributes,1.0,0.05,exposure,0.09726933133866573,0.015327365233134837,0.7875584805957574,0.021959750579174694,161.88,5.6389124246908935,1.0,0.0,5012.2,4.756282395129693,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.05,random,0.0914629017392127,0.015583732708708393,0.7827131105809889,0.02185454130846888,159.8616,5.725043371014759,1.0,0.0,5012.2,4.756282395129693,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.1,exposure,0.11317844045801931,0.012164959201379562,0.796409931051222,0.021249795483557172,166.57999999999998,5.761519861209469,1.0,0.0,4748.3,4.595891885392788,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.1,random,0.09109252896602224,0.015554718652392,0.7824368619474733,0.02178312210885347,159.7452,5.679092587924782,1.0,0.0,4748.3,4.595891885392788,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.2,exposure,0.12382559002075036,0.010223721928176764,0.8035042230826521,0.021746789662182804,170.12,6.070841054673658,1.0,0.0,4220.7,4.164666186436022,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.2,random,0.09057999322643903,0.015378719039535098,0.7820042378285642,0.02152883964787479,159.5712,5.547279709711581,1.0,0.0,4220.7,4.164666186436022,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.4,exposure,0.14155482390825855,0.013690430846368678,0.8100858836053467,0.023289549955614282,175.1,6.5701344481423405,1.0,0.0,3165.7,3.164033993355842,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.4,random,0.08920563743215629,0.015232438789222731,0.7804250356598342,0.02079629737558809,159.0404,5.388530849045131,1.0,0.0,3165.7,3.164033993355842,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.6,exposure,0.15490170699423456,0.017877443346789212,0.8151323161875084,0.02425101925157911,179.0328,7.7572122827727235,1.0,0.0,2110.6,2.1705094128132205,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.6,random,0.08803580161207464,0.014854422812851006,0.7779235490201377,0.020050959913917307,158.3928,5.248469084726834,1.0,0.0,2110.6,2.1705094128132205,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.8,exposure,0.1589172934893841,0.019841738814996946,0.8185658900952871,0.0286689878826351,181.1248,10.33231182907936,1.0,0.0,1055.6,1.1737877907772944,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.8,random,0.08586088188285025,0.014254244031708488,0.7716780188557169,0.01881507539668379,156.9468,5.2421746293350875,1.0,0.0,1055.6,1.1737877907772944,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.9,exposure,0.17583899882473936,0.045938713956490275,0.8250828069516482,0.026379455562293416,187.26,14.812322197713932,1.0,0.0,528.1,0.7378647873726312,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.9,random,0.0823023470899215,0.013209197851238867,0.7484569118374489,0.020039135008260666,152.1352,5.212649503318288,0.9928000000000001,0.00749518363869611,528.1,0.7378647873726312,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.97,exposure,0.17250762270752873,0.05585326270953523,0.7892076574012428,0.051104767446810834,184.7288,21.05990387653487,0.9676,0.06846767282610253,159.0,0.0,5275.5,5.169354139757052
amazon,hgb_attributes,1.0,0.97,random,0.06579093810523058,0.008464911896744512,0.5708425339068701,0.03538049029844594,116.97760000000001,7.29864820360592,0.75,0.049143779983952335,159.0,0.0,5275.5,5.169354139757052
amazon,hgb_graph_features,0.25,0.0,exposure,0.08910270402545907,0.02476879547216143,0.7775863278806721,0.01786480183456571,158.7,6.4161255183067185,1.0,0.0,1326.82,18.2482754131879,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.0,random,0.08910270402545907,0.02476879547216143,0.7775863278806721,0.01786480183456571,158.7,6.4161255183067185,1.0,0.0,1326.82,18.2482754131879,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.05,exposure,0.0951623352892294,0.021072234675049786,0.788901732258305,0.021096041535394794,161.95999999999998,6.08590356662199,1.0,0.0,1260.96,17.376305706334694,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.05,random,0.0877720890200148,0.023295526419747418,0.7764777543275648,0.018209620883675382,158.23399999999998,6.283417682899802,1.0,0.0,1260.96,17.376305706334694,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.1,exposure,0.10942720243000607,0.023368471278995984,0.8013113257136742,0.023992775286423736,167.1,7.992913528036357,1.0,0.0,1194.6200000000001,16.474748354173222,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.1,random,0.08660767204574021,0.023654798339712665,0.7732524561370704,0.022280386261029406,157.46800000000002,7.397911296815859,1.0,0.0,1194.6200000000001,16.474748354173222,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.2,exposure,0.13439793587190116,0.02825701918690752,0.8148163020807502,0.021062594816679235,174.95999999999998,8.30143227267306,1.0,0.0,1061.84,14.629893293451513,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.2,random,0.08673083150532349,0.023446895878252702,0.7724609898477346,0.02185207204692901,157.3668,7.265414460916109,1.0,0.0,1061.84,14.629893293451513,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.4,exposure,0.15117755469359326,0.0396443933568504,0.8225092667206052,0.024169010101813476,180.56,11.601455847339935,1.0,0.0,796.44,10.968561133226808,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.4,random,0.08542880249107099,0.022221804000572956,0.7643254632411323,0.027307686214385285,155.6364,8.05385571153483,0.9964000000000001,0.011384199576606137,796.44,10.968561133226808,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.6,exposure,0.13991785977710142,0.03687263609718154,0.813009261890229,0.028202785107878478,176.62,12.26066882351856,1.0,0.0,531.1600000000001,7.373707042970687,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.6,random,0.08420132858336923,0.02096283139336968,0.7525337302199093,0.03114156129548618,153.3392,8.625375235637895,0.9932000000000001,0.012795832654944068,531.1600000000001,7.373707042970687,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.8,exposure,0.10285075828469233,0.028831109936859455,0.7490950230304805,0.05817720857630833,157.1,15.833087717393175,0.9800000000000001,0.06324555320336758,265.76,3.7139975468190447,1326.82,18.2482754131879
amazon,hgb_graph_features,0.25,0.8,random,0.07462860350051431,0.016809540628434417,0.6604978731927501,0.049493441674882836,134.8728,11.406461763209284,0.8968,0.05503291944120557,265.76,3.7139975468190447,1326.82,18.2482754131879
