phase,dataset,model,label_fraction,design,scenario,method,seed,fdp,power,discoveries,true_discoveries,nonempty,reference_labels,training_labels,n_reference
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,uniform_counterfactual,9,0.08282780327696214,0.7973118279569893,162.04,148.3,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,0,0.10224012563796782,0.7777297297297298,160.58,143.88,1.0,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,1,0.09461016488332305,0.778360655737705,157.64,142.44,1.0,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,2,0.10716698138983202,0.7659016393442623,157.14,140.16,1.0,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,3,0.07795825018948264,0.8227956989247311,166.52,153.04,1.0,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,4,0.07314948751179769,0.7563043478260869,150.3,139.16,1.0,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,5,0.0699515891012921,0.7641935483870967,152.96,142.14,1.0,2921.38,864.0,2645.1
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,6,0.07910956634277445,0.7602127659574468,155.3,142.92,1.0,2916.62,864.0,2636.14
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,7,0.10059761822989444,0.7937967914438502,165.2,148.44,1.0,2910.9,864.0,2628.12
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,8,0.09584527569221292,0.7775135135135135,159.2,143.84,1.0,2913.64,864.0,2635.88
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_bh,9,0.08282780327696214,0.7973118279569893,162.04,148.3,1.0,2913.68,864.0,2632.18
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,0,0.0027661082628590594,0.058702702702702704,11.06,10.86,0.16,2914.34,864.0,2640.02
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,1,0.0060882833677307225,0.12688524590163935,23.88,23.22,0.24,2917.14,864.0,2642.92
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,2,0.007623226380323844,0.2724590163934426,50.72,49.86,0.54,2920.02,864.0,2644.44
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,3,0.011734949779319017,0.19494623655913978,37.64,36.26,0.36,2911.98,864.0,2633.38
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,4,0.004302058089362987,0.1317391304347826,24.62,24.24,0.3,2913.2,864.0,2637.28
acquisition,amazon,hgb_attributes,0.0,exposure_80,neutral,weighted_by,5,0.0009941573033707865,0.031827956989247314,6.02,5.92,0.06,2921.38,864.0,2645.1
