dataset,model,method,budget,discoveries,true_discoveries,fdp,power,unreviewed_recall,audit_labels,reviewed_anomalies,abstain,certificate_failure,simultaneous_bound_failure,true_discoveries_seed_sd,power_seed_sd
tolokers,dominant_pygod,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,21.7615,1.0,0.0,0.006,0.0,0.0
tolokers,dominant_pygod,uniform_graph,250,0.0,0.0,0.0,0.0,0.0,250.0,54.739,1.0,0.0,0.013500000000000002,0.0,0.0
tolokers,dominant_pygod,uniform_graph,500,0.0,0.0,0.0,0.0,0.0,500.0,109.09349999999999,1.0,0.0,0.013500000000000002,0.0,0.0
tolokers,gae,score_degree_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,13.552000000000001,1.0,0.0,0.0,0.0,0.0
tolokers,gae,score_degree_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,34.624,1.0,0.0,0.0,0.0,0.0
tolokers,gae,score_degree_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,75.6965,1.0,0.0,0.0,0.0,0.0
tolokers,gae,score_strata,100,0.0,0.0,0.0,0.0,0.0,100.0,13.336500000000001,1.0,0.0,0.0005,0.0,0.0
tolokers,gae,score_strata,250,0.0,0.0,0.0,0.0,0.0,250.0,34.411,1.0,0.0,0.0025,0.0,0.0
tolokers,gae,score_strata,500,0.0,0.0,0.0,0.0,0.0,500.0,75.66900000000001,1.0,0.0,0.0,0.0,0.0
tolokers,gae,uniform_candidates,100,0.0,0.0,0.0,0.0,0.0,100.0,17.485,1.0,0.0,0.015,0.0,0.0
tolokers,gae,uniform_candidates,250,0.0,0.0,0.0,0.0,0.0,250.0,43.980000000000004,1.0,0.0,0.0175,0.0,0.0
tolokers,gae,uniform_candidates,500,0.0,0.0,0.0,0.0,0.0,500.0,87.4355,1.0,0.0,0.015,0.0,0.0
tolokers,gae,uniform_graph,100,0.0,0.0,0.0,0.0,0.0,100.0,21.792,1.0,0.0,0.0105,0.0,0.0
