dataset,model,label_fraction,removed,method,seed,fdp,power,discoveries,nonempty,n_calib,pool_size
tfinance,hgb_attributes,0.25,0.6,exposure,2,0.07325955350420796,0.6350098039215687,279.776,1.0,2540.4,6350.0
tfinance,hgb_attributes,0.25,0.6,exposure,3,0.05216700518541888,0.6087860696517413,258.488,1.0,2547.4,6367.2
tfinance,hgb_attributes,0.25,0.6,exposure,4,0.06588581032052492,0.6021182266009852,262.044,1.0,2531.6,6327.8
tfinance,hgb_attributes,0.25,0.6,exposure,5,0.09005520919414838,0.6500543209876544,290.79200000000003,1.0,2534.2,6334.8
tfinance,hgb_attributes,0.25,0.6,exposure,6,0.08321366160835164,0.6288648648648648,280.524,1.0,2525.4,6311.8
tfinance,hgb_attributes,0.25,0.6,exposure,7,0.06539506320926505,0.6174187192118227,268.336,1.0,2548.8,6370.8
tfinance,hgb_attributes,0.25,0.6,exposure,8,0.07382909497710274,0.629970297029703,275.204,1.0,2546.2,6364.4
tfinance,hgb_attributes,0.25,0.6,exposure,9,0.0650543129138422,0.6413921568627451,280.20799999999997,1.0,2541.0,6351.4
tfinance,hgb_attributes,0.25,0.6,random,0,0.08077541997941864,0.6363960396039604,280.696,1.0,2523.4,6307.8
tfinance,hgb_attributes,0.25,0.6,random,1,0.07400936272524583,0.6450594059405941,282.156,1.0,2538.8,6346.2
tfinance,hgb_attributes,0.25,0.6,random,2,0.09894710969204673,0.650735294117647,295.26000000000005,1.0,2540.4,6350.0
tfinance,hgb_attributes,0.25,0.6,random,3,0.0854003191028765,0.6457910447761194,284.448,1.0,2547.4,6367.2
tfinance,hgb_attributes,0.25,0.6,random,4,0.09110229096674186,0.629231527093596,282.248,1.0,2531.6,6327.8
tfinance,hgb_attributes,0.25,0.6,random,5,0.11596601506862447,0.6696888888888888,307.892,1.0,2534.2,6334.8
tfinance,hgb_attributes,0.25,0.6,random,6,0.07894111764148487,0.6293759213759215,278.7,1.0,2525.4,6311.8
tfinance,hgb_attributes,0.25,0.6,random,7,0.09659054747985812,0.6481182266009853,291.88,1.0,2548.8,6370.8
tfinance,hgb_attributes,0.25,0.6,random,8,0.08915837960419634,0.6418217821782178,285.376,1.0,2546.2,6364.4
tfinance,hgb_attributes,0.25,0.6,random,9,0.08588756570232428,0.6509411764705881,291.296,1.0,2541.0,6351.4
tfinance,hgb_attributes,0.25,0.8,exposure,0,0.05052635237991663,0.6048613861386138,258.284,1.0,1261.8,6307.8
tfinance,hgb_attributes,0.25,0.8,exposure,1,0.05267107622433085,0.6131287128712872,262.672,1.0,1269.6,6346.2
tfinance,hgb_attributes,0.25,0.8,exposure,2,0.07177729229171917,0.6276764705882352,276.996,1.0,1270.4,6350.0
tfinance,hgb_attributes,0.25,0.8,exposure,3,0.05421022233365271,0.600686567164179,256.06399999999996,1.0,1274.0,6367.2
tfinance,hgb_attributes,0.25,0.8,exposure,4,0.06310143701196227,0.5866600985221675,255.56799999999998,1.0,1266.2,6327.8
tfinance,hgb_attributes,0.25,0.8,exposure,5,0.07905914071527839,0.6430913580246914,284.312,1.0,1267.4,6334.8
tfinance,hgb_attributes,0.25,0.8,exposure,6,0.07321487757603393,0.6185847665847666,273.14,1.0,1262.8,6311.8
tfinance,hgb_attributes,0.25,0.8,exposure,7,0.05916232235410292,0.605152709359606,262.096,1.0,1274.8,6370.8
tfinance,hgb_attributes,0.25,0.8,exposure,8,0.070837819276766,0.6225346534653464,271.692,1.0,1273.2,6364.4
tfinance,hgb_attributes,0.25,0.8,exposure,9,0.06287554373717902,0.6327450980392156,276.592,1.0,1270.8,6351.4
tfinance,hgb_attributes,0.25,0.8,random,0,0.07876382755409143,0.6299009900990098,277.776,1.0,1261.8,6307.8
tfinance,hgb_attributes,0.25,0.8,random,1,0.0721986109227792,0.6356534653465346,278.084,1.0,1269.6,6346.2
tfinance,hgb_attributes,0.25,0.8,random,2,0.09384450860108018,0.6439313725490197,291.15999999999997,1.0,1270.4,6350.0
tfinance,hgb_attributes,0.25,0.8,random,3,0.08635349656724875,0.6366467661691543,281.988,1.0,1274.0,6367.2
tfinance,hgb_attributes,0.25,0.8,random,4,0.08578273947227252,0.6153891625615764,275.288,1.0,1266.2,6327.8
tfinance,hgb_attributes,0.25,0.8,random,5,0.11744841603074214,0.6680493827160494,308.22799999999995,1.0,1267.4,6334.8
tfinance,hgb_attributes,0.25,0.8,random,6,0.07533255583371001,0.6185847665847666,273.84000000000003,1.0,1262.8,6311.8
tfinance,hgb_attributes,0.25,0.8,random,7,0.08815966557410605,0.6364433497536945,284.592,1.0,1274.8,6370.8
tfinance,hgb_attributes,0.25,0.8,random,8,0.08785571288293563,0.6364455445544555,283.256,1.0,1273.2,6364.4
tfinance,hgb_attributes,0.25,0.8,random,9,0.08042472127960866,0.6448921568627451,287.456,1.0,1270.8,6351.4
tfinance,hgb_attributes,0.25,0.9,exposure,0,0.04746634618576882,0.5685544554455445,243.44399999999996,0.9879999999999999,631.4,6307.8
tfinance,hgb_attributes,0.25,0.9,exposure,1,0.055223985919726146,0.5560099009900992,241.38400000000001,0.944,635.0,6346.2
tfinance,hgb_attributes,0.25,0.9,exposure,2,0.06249996050300608,0.5881666666666666,258.568,1.0,635.6,6350.0
tfinance,hgb_attributes,0.25,0.9,exposure,3,0.0474961664255665,0.5024577114427861,215.5,0.86,637.2,6367.2
tfinance,hgb_attributes,0.25,0.9,exposure,4,0.05332259906488292,0.5084926108374384,221.808,0.9,633.4,6327.8
tfinance,hgb_attributes,0.25,0.9,exposure,5,0.07750726482161578,0.5911111111111111,263.492,0.9279999999999999,634.0,6334.8
tfinance,hgb_attributes,0.25,0.9,exposure,6,0.068583462959636,0.5758329238329238,255.44,0.9640000000000001,631.8,6311.8
tfinance,hgb_attributes,0.25,0.9,exposure,7,0.05506854480306034,0.5146108374384237,225.26399999999998,0.86,637.6,6370.8
tfinance,hgb_attributes,0.25,0.9,exposure,8,0.05920687724791509,0.5494158415841583,239.23200000000003,0.916,637.0,6364.4
tfinance,hgb_attributes,0.25,0.9,exposure,9,0.056160032221943414,0.5769803921568627,252.58800000000002,0.9400000000000001,635.8,6351.4
tfinance,hgb_attributes,0.25,0.9,random,0,0.06783700200686413,0.5705049504950495,251.11599999999999,0.9480000000000001,631.4,6307.8
tfinance,hgb_attributes,0.25,0.9,random,1,0.07086045768288787,0.5768514851485149,254.98399999999998,0.952,635.0,6346.2
tfinance,hgb_attributes,0.25,0.9,random,2,0.08186819616489216,0.6189019607843138,277.648,1.0,635.6,6350.0
tfinance,hgb_attributes,0.25,0.9,random,3,0.08190685475631046,0.594318407960199,264.44,0.952,637.2,6367.2
tfinance,hgb_attributes,0.25,0.9,random,4,0.0667665114666218,0.5577536945812808,246.41199999999998,0.96,633.4,6327.8
tfinance,hgb_attributes,0.25,0.9,random,5,0.10558564062610958,0.6380740740740741,292.43999999999994,0.968,634.0,6334.8
tfinance,hgb_attributes,0.25,0.9,random,6,0.0655807415473651,0.5696609336609336,251.32399999999998,0.96,631.8,6311.8
tfinance,hgb_attributes,0.25,0.9,random,7,0.07961372346108625,0.5589261083743843,251.78000000000003,0.8879999999999999,637.6,6370.8
tfinance,hgb_attributes,0.25,0.9,random,8,0.08210480366111331,0.6108811881188119,271.98,0.984,637.0,6364.4
tfinance,hgb_attributes,0.25,0.9,random,9,0.07245059016515373,0.5952941176470589,265.224,0.9480000000000001,635.8,6351.4
tfinance,hgb_attributes,0.25,0.97,exposure,0,0.004795749980471246,0.009514851485148515,6.456,0.012,189.8,6307.8
tfinance,hgb_attributes,0.25,0.97,exposure,1,0.006728202369702288,0.012376237623762377,8.7,0.016,190.8,6346.2
tfinance,hgb_attributes,0.25,0.97,exposure,2,0.0018150087260034905,0.0030686274509803923,2.2920000000000003,0.004,191.2,6350.0
tfinance,hgb_attributes,0.25,0.97,exposure,3,0.00615294075559066,0.012338308457711443,8.075999999999999,0.016,191.6,6367.2
tfinance,hgb_attributes,0.25,0.97,exposure,4,0.004841996165282572,0.0089064039408867,6.064,0.012,190.4,6327.8
tfinance,hgb_attributes,0.25,0.97,exposure,5,0.010895450780177885,0.021441975308641975,14.284,0.028000000000000004,190.6,6334.8
tfinance,hgb_attributes,0.25,0.97,exposure,6,0.02073722469777669,0.036737100737100736,26.596000000000004,0.048,189.8,6311.8
tfinance,hgb_attributes,0.25,0.97,exposure,7,0.015447455124899154,0.030167487684729065,19.991999999999997,0.04,191.6,6370.8
tfinance,hgb_attributes,0.25,0.97,exposure,8,0.014151175366273435,0.027831683168316836,18.64,0.036,191.6,6364.4
tfinance,hgb_attributes,0.25,0.97,exposure,9,0.004126522485843418,0.009215686274509804,5.74,0.012,191.0,6351.4
tfinance,hgb_attributes,0.25,0.97,random,0,0.018133094018363015,0.037376237623762375,24.336000000000002,0.048,189.8,6307.8
tfinance,hgb_attributes,0.25,0.97,random,1,0.011136337616204278,0.021138613861386137,14.408000000000001,0.028000000000000004,190.8,6346.2
tfinance,hgb_attributes,0.25,0.97,random,2,0.0028204975272745347,0.0062352941176470585,3.94,0.008,191.2,6350.0
tfinance,hgb_attributes,0.25,0.97,random,3,0.007388572026249457,0.015393034825870646,9.824000000000002,0.02,191.6,6367.2
tfinance,hgb_attributes,0.25,0.97,random,4,0.0012810457516339868,0.0030738916256157637,1.8359999999999999,0.004,190.4,6327.8
tfinance,hgb_attributes,0.25,0.97,random,5,0.013886932945058869,0.027456790123456788,18.16,0.036,190.6,6334.8
tfinance,hgb_attributes,0.25,0.97,random,6,0.015730164856912036,0.030614250614250615,20.636000000000003,0.04,189.8,6311.8
tfinance,hgb_attributes,0.25,0.97,random,7,0.015282530397959663,0.031054187192118228,20.44,0.04,191.6,6370.8
tfinance,hgb_attributes,0.25,0.97,random,8,0.006733075906766172,0.012247524752475248,8.676,0.016,191.6,6364.4
tfinance,hgb_attributes,0.25,0.97,random,9,0.012768148486086695,0.027705882352941174,17.668,0.036,191.0,6351.4
tfinance,hgb_attributes,0.5,0.0,exposure,0,0.07880851244294099,0.6386138613861386,280.6,1.0,12618.4,12618.4
tfinance,hgb_attributes,0.5,0.0,exposure,1,0.07872032019858985,0.6534653465346535,287.0,1.0,12727.0,12727.0
tfinance,hgb_attributes,0.5,0.0,exposure,2,0.09578607872148512,0.6509803921568628,294.0,1.0,12687.8,12687.8
tfinance,hgb_attributes,0.5,0.0,exposure,3,0.09344569556788909,0.6537313432835822,290.2,1.0,12699.4,12699.4
tfinance,hgb_attributes,0.5,0.0,exposure,4,0.09683123128889107,0.6379310344827586,287.2,1.0,12677.6,12677.6
tfinance,hgb_attributes,0.5,0.0,exposure,5,0.11566484253442,0.6696296296296296,306.8,1.0,12651.0,12651.0
tfinance,hgb_attributes,0.5,0.0,exposure,6,0.08233652511528845,0.6393120393120393,283.6,1.0,12648.6,12648.6
tfinance,hgb_attributes,0.5,0.0,exposure,7,0.09319741384143436,0.6502463054187192,291.2,1.0,12696.8,12696.8
tfinance,hgb_attributes,0.5,0.0,exposure,8,0.10663504277732279,0.6544554455445545,296.4,1.0,12670.2,12670.2
tfinance,hgb_attributes,0.5,0.0,exposure,9,0.09135124925642049,0.657843137254902,295.4,1.0,12700.6,12700.6
tfinance,hgb_attributes,0.5,0.0,random,0,0.07880851244294099,0.6386138613861386,280.6,1.0,12618.4,12618.4
tfinance,hgb_attributes,0.5,0.0,random,1,0.07872032019858985,0.6534653465346535,287.0,1.0,12727.0,12727.0
tfinance,hgb_attributes,0.5,0.0,random,2,0.09578607872148512,0.6509803921568628,294.0,1.0,12687.8,12687.8
tfinance,hgb_attributes,0.5,0.0,random,3,0.09344569556788909,0.6537313432835822,290.2,1.0,12699.4,12699.4
tfinance,hgb_attributes,0.5,0.0,random,4,0.09683123128889107,0.6379310344827586,287.2,1.0,12677.6,12677.6
tfinance,hgb_attributes,0.5,0.0,random,5,0.11566484253442,0.6696296296296296,306.8,1.0,12651.0,12651.0
tfinance,hgb_attributes,0.5,0.0,random,6,0.08233652511528845,0.6393120393120393,283.6,1.0,12648.6,12648.6
tfinance,hgb_attributes,0.5,0.0,random,7,0.09319741384143436,0.6502463054187192,291.2,1.0,12696.8,12696.8
tfinance,hgb_attributes,0.5,0.0,random,8,0.10663504277732279,0.6544554455445545,296.4,1.0,12670.2,12670.2
tfinance,hgb_attributes,0.5,0.0,random,9,0.09135124925642049,0.657843137254902,295.4,1.0,12700.6,12700.6
tfinance,hgb_attributes,0.5,0.05,exposure,0,0.08768550996789774,0.6465346534653464,287.0,1.0,11988.0,12618.4
tfinance,hgb_attributes,0.5,0.05,exposure,1,0.10897426747454064,0.6653465346534653,302.0,1.0,12091.0,12727.0
tfinance,hgb_attributes,0.5,0.05,exposure,2,0.12001901820596157,0.6647058823529411,308.4,1.0,12053.8,12687.8
