method,seed,n_ensemble,calib_frac,n_calib,n_discoveries,realized_fdr,power
ensemble_conformal_bh_adversarial,6,5,0.4,1283,159,0.10062893081761007,0.19066666666666668
ensemble_conformal_bh_adversarial,7,5,0.4,1292,142,0.07746478873239436,0.17466666666666666
ensemble_conformal_bh_adversarial,8,5,0.4,1274,149,0.12080536912751678,0.17466666666666666
ensemble_conformal_bh_adversarial,9,5,0.4,1266,0,0.0,0.0
ensemble_conformal_bh_adversarial,10,5,0.4,1293,151,0.13245033112582782,0.17466666666666666
ensemble_conformal_bh_adversarial,11,5,0.4,1321,0,0.0,0.0
ensemble_conformal_bh_adversarial,12,5,0.4,1270,0,0.0,0.0
ensemble_conformal_bh_adversarial,13,5,0.4,1252,0,0.0,0.0
ensemble_conformal_bh_adversarial,14,5,0.4,1244,160,0.14375,0.18266666666666667
ensemble_conformal_bh_adversarial,15,5,0.4,1294,0,0.0,0.0
ensemble_conformal_bh_adversarial,16,5,0.4,1325,0,0.0,0.0
ensemble_conformal_bh_adversarial,17,5,0.4,1270,0,0.0,0.0
ensemble_conformal_bh_adversarial,18,5,0.4,1286,0,0.0,0.0
ensemble_conformal_bh_adversarial,19,5,0.4,1290,120,0.15,0.136
naive_threshold_DESCRIPTIVE_ONLY,0,1,,,750,0.48533333333333334,0.5146666666666667
naive_threshold_DESCRIPTIVE_ONLY,1,1,,,750,0.49866666666666665,0.5013333333333333
naive_threshold_DESCRIPTIVE_ONLY,2,1,,,750,0.468,0.532
naive_threshold_DESCRIPTIVE_ONLY,3,1,,,750,0.5133333333333333,0.4866666666666667
naive_threshold_DESCRIPTIVE_ONLY,4,1,,,750,0.49733333333333335,0.5026666666666667
naive_threshold_DESCRIPTIVE_ONLY,5,1,,,750,0.45066666666666666,0.5493333333333333
naive_threshold_DESCRIPTIVE_ONLY,6,1,,,750,0.488,0.512
naive_threshold_DESCRIPTIVE_ONLY,7,1,,,750,0.4666666666666667,0.5333333333333333
naive_threshold_DESCRIPTIVE_ONLY,8,1,,,750,0.49066666666666664,0.5093333333333333
naive_threshold_DESCRIPTIVE_ONLY,9,1,,,750,0.496,0.504
naive_threshold_DESCRIPTIVE_ONLY,10,1,,,750,0.5093333333333333,0.49066666666666664
naive_threshold_DESCRIPTIVE_ONLY,11,1,,,750,0.5013333333333333,0.49866666666666665
naive_threshold_DESCRIPTIVE_ONLY,12,1,,,750,0.468,0.532
naive_threshold_DESCRIPTIVE_ONLY,13,1,,,750,0.5013333333333333,0.49866666666666665
naive_threshold_DESCRIPTIVE_ONLY,14,1,,,750,0.4693333333333333,0.5306666666666666
naive_threshold_DESCRIPTIVE_ONLY,15,1,,,750,0.49333333333333335,0.5066666666666667
naive_threshold_DESCRIPTIVE_ONLY,16,1,,,750,0.49066666666666664,0.5093333333333333
naive_threshold_DESCRIPTIVE_ONLY,17,1,,,750,0.49733333333333335,0.5026666666666667
naive_threshold_DESCRIPTIVE_ONLY,18,1,,,750,0.5066666666666667,0.49333333333333335
naive_threshold_DESCRIPTIVE_ONLY,19,1,,,750,0.49866666666666665,0.5013333333333333
