dataset,detector,seed,alpha,degree_norm,n_calib,n_null,m_test,n_discoveries,realized_fdr,power,spearman_score_degree,spearman_p,min_rank_used,gamma_hat,gamma_at_bh,mean_p,ks_uniform,n_sim,q_kendall_tau,q_kendall_p,q_is_monotone,q_first_bin,q_last_bin,gamma_hat_null_mean,gamma_hat_null_p,gamma_at_bh_null_mean,gamma_at_bh_null_p,mean_p_null_mean,mean_p_null_p,ks_uniform_null_mean,ks_uniform_null_p,gamma_t0.001,n_below_t0.001,gamma_t0.002,n_below_t0.002,gamma_t0.005,n_below_t0.005,gamma_t0.01,n_below_t0.01,gamma_t0.02,n_below_t0.02,gamma_t0.05,n_below_t0.05
weibo,dominant_pygod,1,0.1,off,5642,2335,2682,39,0.6153846153846154,0.043227665706051875,0.4541909100487746,0.0,1410,1.3060476559296552,7.06835776643057,0.454933344869105,0.07833229169868411,200,-0.018181818181818184,1.0,False,0.402457757296467,0.49777777777777776,1.024896872329079,0.0,0.9424477021907427,0.0,0.5008235193893934,0.0,0.008340484752859374,0.0,9.421841541755889,22,5.353319057815845,25,2.9122055674518204,34,2.526766595289079,59,2.5481798715203428,119,2.7665952890792287,323
weibo,dominant_pygod,2,0.1,off,5642,2335,2682,61,0.639344262295082,0.06340057636887608,0.44284076866323074,0.0,1410,1.2854799763087157,7.343560220451434,0.48049464174788187,0.0743745353911025,200,-0.018181818181818184,1.0,False,0.402457757296467,0.49777777777777776,1.0238655011564741,0.0,0.9104131709200687,0.0,0.5010928853507463,0.0,0.008003653879794985,0.0,9.850107066381156,23,7.922912205567452,37,5.653104925053532,66,3.9828693790149896,93,2.6552462526766596,124,2.398286937901499,280
weibo,dominant_pygod,3,0.1,off,5642,2335,2682,61,0.639344262295082,0.06340057636887608,0.4497665211516788,0.0,1410,1.278624083101736,7.343560220451434,0.47115643455100237,0.07208544363959668,200,-0.018181818181818184,1.0,False,0.402457757296467,0.49777777777777776,1.0241009688769835,0.0,0.9640776494541368,0.0,0.5007921455055457,0.0,0.008023526143891298,0.0,9.850107066381156,23,7.922912205567452,37,6.852248394004283,80,4.4111349036402565,103,2.633832976445396,123,2.4239828693790146,283
weibo,dominant_pygod,4,0.1,off,5642,2335,2682,62,0.6290322580645161,0.06628242074927954,0.44743093885005686,0.0,1410,1.266215882015864,7.225115700766733,0.4821663420333543,0.06961944475750403,200,-0.018181818181818184,1.0,False,0.402457757296467,0.49777777777777776,1.028156819051705,0.0,0.9587172756786626,0.0,0.49953218385439724,0.005,0.009667397897985073,0.0,10.278372591006423,24,7.922912205567452,37,6.252676659528908,73,4.23982869379015,99,2.633832976445396,123,2.415417558886509,282
weibo,gae,0,0.1,off,5641,2336,2683,62,0.6129032258064516,0.069164265129683,-0.08602146892734855,1.0342198624753728e-14,1410,1.0167628612758852,7.039466416261599,0.5222727173401057,0.004192200861445228,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.027351674492707,0.615,1.0133126657092353,0.0,0.500021863907193,1.0,0.00933456891926015,0.675,5.993150684931506,14,7.277397260273972,34,6.164383561643835,72,4.152397260273973,97,3.1678082191780823,148,2.0633561643835616,241
weibo,gae,1,0.1,off,5641,2336,2683,62,0.6129032258064516,0.069164265129683,-0.08081320553796546,3.728545393298154e-13,1410,1.0236561059533857,7.039466416261599,0.517286568932614,0.006192851558516621,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0248781721773363,0.5,0.9540329485196642,0.0,0.5008273853025013,1.0,0.008337911329170167,0.57,5.993150684931506,14,7.277397260273972,34,6.164383561643835,72,4.066780821917808,95,3.1678082191780823,148,2.0633561643835616,241
weibo,gae,2,0.1,off,5641,2336,2683,62,0.6129032258064516,0.069164265129683,-0.09680407000339998,3.0694547009367816e-18,1410,1.0189028136429523,7.039466416261599,0.5213919697183065,0.004780984592076043,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0239621683818234,0.55,0.9632954043305346,0.0,0.5010776684649862,0.995,0.0080337377630103,0.635,5.993150684931506,14,7.277397260273972,34,6.164383561643835,72,4.023972602739726,94,3.146404109589041,147,2.046232876712329,239
weibo,gae,3,0.1,off,5641,2336,2683,62,0.6129032258064516,0.069164265129683,-0.08511406857260453,1.962138674966764e-14,1410,1.026349228185004,7.039466416261599,0.5182447082303469,0.006627003685664767,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0240939120898893,0.475,1.0253538582633672,0.0,0.5007890096536252,0.99,0.00801473810656864,0.565,5.565068493150685,13,7.277397260273972,34,6.164383561643835,72,4.023972602739726,94,3.146404109589041,147,2.0890410958904106,244
weibo,gae,4,0.1,off,5641,2336,2683,62,0.6129032258064516,0.069164265129683,-0.08888991482493197,1.3072092459519346e-15,1410,1.0331478714734756,7.039466416261599,0.518087496904333,0.00829578066652742,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.028192733885211,0.425,0.9586641764250993,0.0,0.49952617553403283,0.995,0.009669040567806032,0.54,5.993150684931506,14,7.277397260273972,34,6.164383561643835,72,4.066780821917808,95,3.1892123287671237,149,2.071917808219178,242
weibo,anomalydae,0,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.11403494577343931,9.778830713105182e-25,1410,1.097989568187036,7.431758662369057,0.5197473966047209,0.024870801425706413,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.027351674492707,0.035,1.0085958184643722,0.0,0.500021863907193,0.995,0.00933456891926015,0.095,5.993150684931506,14,7.277397260273972,34,6.678082191780822,78,4.49486301369863,105,3.553082191780822,166,2.285958904109589,267
weibo,anomalydae,1,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.108138127813406,2.154724876105607e-22,1410,1.0786834784769952,7.431758662369057,0.520632924300622,0.020101804955980795,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0248781721773363,0.06,0.9941183665246922,0.0,0.5008273853025013,1.0,0.008337911329170167,0.15,5.993150684931506,14,7.277397260273972,34,6.678082191780822,78,4.49486301369863,105,3.531678082191781,165,2.2945205479452055,268
weibo,anomalydae,2,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.15215662504380373,6.139042834237169e-43,1410,1.1648796735524227,7.431758662369057,0.4928051538607216,0.04211123884952872,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0239621683818234,0.0,0.9830189867042708,0.0,0.5010776684649862,0.135,0.0080337377630103,0.0,5.993150684931506,14,7.277397260273972,34,6.678082191780822,78,4.580479452054795,107,3.4674657534246576,162,2.2345890410958904,261
weibo,anomalydae,3,0.1,off,5640,2337,2684,120,0.65,0.12103746397694524,-0.15623301146615404,3.3423055049386766e-45,1410,1.1977271445374365,7.465126230209671,0.4906379928054405,0.05269089769056662,200,-0.018181818181818184,1.0,False,0.4009216589861751,0.4962962962962963,1.0241280458841502,0.0,0.9652025388674937,0.0,0.5007810977563026,0.06,0.008025766408402567,0.0,6.418485237483954,15,7.488232777064612,35,6.760804450149764,79,4.492939666238767,105,3.465982028241335,162,2.302096705177578,269
weibo,anomalydae,4,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.10069055742013429,1.301447254953795e-19,1410,1.0570950075672318,7.431758662369057,0.5266610529881078,0.014288931351458922,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.028192733885211,0.195,0.9685415347645906,0.0,0.49952617553403283,1.0,0.009669040567806032,0.34,5.993150684931506,14,7.277397260273972,34,6.678082191780822,78,4.4520547945205475,104,3.7029109589041096,173,2.208904109589041,258
weibo,dominant_ours,0,0.1,off,5641,2336,2683,118,0.652542372881356,0.11815561959654179,-0.13102419905448745,3.4373924167542044e-32,1410,1.0517426892062567,7.494739667982354,0.52352365514512,0.014507752521451145,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.027351674492707,0.23,0.9806428851288598,0.0,0.500021863907193,1.0,0.00933456891926015,0.3,5.993150684931506,14,7.277397260273972,34,6.592465753424658,77,4.49486301369863,105,3.51027397260274,164,2.148972602739726,251
weibo,dominant_ours,1,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.14410655662633307,1.194500482342263e-38,1410,1.0804570647175564,7.431758662369057,0.5210326295445605,0.02170138467365601,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0248781721773363,0.06,0.9941183665246922,0.0,0.5008273853025013,1.0,0.008337911329170167,0.12,5.993150684931506,14,7.277397260273972,34,6.592465753424658,77,4.49486301369863,105,3.7885273972602738,177,2.268835616438356,265
weibo,dominant_ours,2,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.13282975474739808,4.8107707551651835e-33,1410,1.0616813495328912,7.431758662369057,0.5225931340533086,0.017002647705807228,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0239621683818234,0.14,0.9830189867042708,0.0,0.5010776684649862,0.995,0.0080337377630103,0.225,5.993150684931506,14,7.277397260273972,34,6.592465753424658,77,4.49486301369863,105,3.7885273972602738,177,2.268835616438356,265
weibo,dominant_ours,3,0.1,off,5641,2336,2683,119,0.6470588235294118,0.12103746397694524,-0.13285372555468544,4.685935521440325e-33,1410,1.0616813495328912,7.431758662369057,0.5225919959404273,0.017076245672136114,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.0240939120898893,0.105,0.972402188615172,0.0,0.5007890096536252,1.0,0.00801473810656864,0.19,5.993150684931506,14,7.277397260273972,34,6.592465753424658,77,4.49486301369863,105,3.7885273972602738,177,2.268835616438356,265
weibo,dominant_ours,4,0.1,off,5641,2336,2683,118,0.652542372881356,0.11815561959654179,-0.08414170825332146,3.868465823648381e-14,1410,1.0941408576533653,7.494739667982354,0.503078747092501,0.02712198870506427,200,-0.018181818181818184,1.0,False,0.402457757296467,0.4962962962962963,1.028192733885211,0.025,0.9436558581959601,0.0,0.49952617553403283,0.665,0.009669040567806032,0.06,5.993150684931506,14,7.277397260273972,34,6.678082191780822,78,4.366438356164384,102,3.553082191780822,166,2.1575342465753424,252
