dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
tolokers,dominant_pygod,3,clean,0.1,641,4566,2000,True,71.1214953271028,0.0,0.0,5.809672386895476,63.9835,-0.9163582676157772,0.4322145085803432,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,15.17971758664955,0.01558,2.640225,0.22490732087227414,0.4093193146417446,0.0,1521,0.3800131492439185,0.367498051441933
tolokers,dominant_pygod,3,weighted,0.1,641,4566,2000,True,71.1214953271028,0.0,0.0,5.809672386895476,63.9835,-0.9163582676157772,0.4322145085803432,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,14.922978177150194,0.01558,2.15270625,0.3357564199033838,0.28751090342679125,0.0,1438,0.3748261474269819,0.3503507404520655
tolokers,dominant_pygod,3,random,0.1,641,4566,2000,True,71.1214953271028,0.0,0.33389899179951615,67.52574102964118,63.9835,0.05425316424443183,0.03209984399375975,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,0.6739409499358152,0.01558,0.9674738675958188,0.5151425233644858,-0.0145404984423676,0.86,131,0.007633587786259542,0.05066250974279034
tolokers,dominant_pygod,3,exposed_only,0.1,641,4566,2000,True,71.1214953271028,0.0,0.35404263074691117,73.58502340093604,63.9835,0.12572252418349306,0.08454758190327613,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,0.9306803594351734,0.01558,0.9132676056338028,0.5438403426791277,-0.02877570093457943,1.0,129,0.0,0.050272798129384254
tolokers,dominant_pygod,3,true_contam_05,0.1,641,4566,2000,True,71.1214953271028,0.0499219968798752,0.3104840424245427,71.92823712948518,63.9835,0.09824717004976738,0.06295007800312012,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,0.8664955070603337,0.01558,0.9915057915057915,0.5271573208722741,-0.003426791277258534,0.99,173,0.06358381502890173,0.06313328137178488
tolokers,dominant_pygod,3,true_contam_10,0.1,641,4566,2000,True,71.1214953271028,0.0998439937597504,0.3222472991215509,80.03120124804992,63.9835,0.16478450500065348,0.09492589703588143,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,0.5776636713735558,0.01558,0.8802081447963801,0.5493566978193146,-0.03893146417445481,1.0,0,0.0,0.0
tolokers,dominant_pygod,3,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.32364002237278205,67.50375,63.9835,0.04548101584708566,0.034,0.8985608762955136,-0.056952414825342815,4.655221816475205e-08,0.6,0.0025,1.0045063829787233,0.5136840789802549,0.0013234191452136668,0.965,160,0.03125,0.06040530007794232
tolokers,dominant_pygod,4,clean,0.1,641,4566,2000,True,71.1214953271028,0.0,0.0,5.619344773790951,64.1755,-0.9422238651772654,0.4610148205928237,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,15.629011553273427,0.01558,2.7285000000000004,0.21472819314641742,0.43785669781931463,0.0,1677,0.3875968992248062,0.40023382696804366
tolokers,dominant_pygod,4,weighted,0.1,641,4566,2000,True,71.1214953271028,0.0,0.0,5.619344773790951,64.1755,-0.9422238651772654,0.4610148205928237,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,15.05134788189987,0.01558,2.2108875,0.31735770138728786,0.3163566978193147,0.0,1336,0.36452095808383234,0.3308651597817615
tolokers,dominant_pygod,4,random,0.1,641,4566,2000,True,71.1214953271028,0.0,0.3155390284282895,71.53978159126365,64.1755,0.07176921120696032,0.03420436817472699,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,0.25673940949935814,0.01558,0.9901267605633803,0.5145366043613707,-0.0032757009345794064,0.91,126,0.0,0.049103663289166016
tolokers,dominant_pygod,4,exposed_only,0.1,641,4566,2000,True,71.1214953271028,0.0,0.34893471990978914,75.9219968798752,64.1755,0.13696914913805466,0.07248751950078003,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,0.6097560975609756,0.01558,0.9459673469387755,0.5393496884735203,-0.02061993769470405,1.0,129,0.007751937984496124,0.04988308651597818
tolokers,dominant_pygod,4,true_contam_05,0.1,641,4566,2000,True,71.1214953271028,0.0499219968798752,0.32248675548999356,61.073322932917314,64.1755,-0.0382394019940855,0.03544695787831513,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,1.5725288831835686,0.01558,1.105157142857143,0.4871121495327103,0.03445794392523366,0.18,0,0.0,0.0
tolokers,dominant_pygod,4,true_contam_10,0.1,641,4566,2000,True,71.1214953271028,0.0998439937597504,0.30192527599991315,76.51326053042122,64.1755,0.08809720204800549,0.04977847113884555,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,0.1925545571245186,0.01558,0.9649814814814816,0.5182788161993769,-0.00883644859813082,0.935,0,0.0,0.0
tolokers,dominant_pygod,4,random_full,0.1,4000,4566,2000,False,11.412146963259184,0.0,0.32175636646281114,69.1115,64.1755,0.03236682182734481,0.02075,0.900683524238973,-0.05799823939150034,2.6289855093229968e-08,0.4,0.0025,1.0030644344400674,0.507361409647588,0.0013619095226193312,0.785,158,0.0189873417721519,0.06040530007794232
