condition,seed,alpha,n_calib,m_test,m_1,pi_1,auroc,n_discoveries,realized_fdr,power,degree_match_ks_p
contaminated,13,0.1,2817,12183,750,0.061561191824673726,0.9999970844631039,847,0.11452184179456906,1.0,nan
contaminated,14,0.1,2800,12200,750,0.06147540983606557,0.9999946433770015,833,0.09963985594237695,1.0,nan
contaminated,15,0.1,2911,12089,750,0.06203987095706841,0.9999977658229708,792,0.05303030303030303,1.0,nan
contaminated,16,0.1,2981,12019,750,0.062401198103003576,0.9999984618570119,837,0.1039426523297491,1.0,nan
contaminated,17,0.1,2858,12142,750,0.0617690660517213,0.99999765917603,818,0.08312958435207823,1.0,nan
contaminated,18,0.1,2894,12106,750,0.061952750702131174,0.999998708465422,820,0.08536585365853659,1.0,nan
contaminated,19,0.1,2903,12097,750,0.06199884268826982,0.9999984724303046,830,0.0963855421686747,1.0,nan
adversarial,0,0.1,2794,12206,750,0.061445190889726366,0.9999947625698324,813,0.07749077490774908,1.0,nan
adversarial,1,0.1,2839,12161,750,0.061672559822383025,0.9999960272251921,783,0.0421455938697318,1.0,nan
adversarial,2,0.1,2910,12090,750,0.062034739454094295,0.9999944738389183,815,0.07975460122699386,1.0,nan
adversarial,3,0.1,2900,12100,750,0.06198347107438017,0.9999955359765051,877,0.14481185860889395,1.0,nan
adversarial,4,0.1,2860,12140,750,0.06177924217462932,0.9999975417032485,831,0.09747292418772563,1.0,nan
adversarial,5,0.1,2813,12187,750,0.06154098629687372,0.9999904403835504,827,0.09310761789600967,1.0,nan
adversarial,6,0.1,2886,12114,750,0.06191183754333829,0.999989557667488,828,0.09420289855072464,1.0,nan
adversarial,7,0.1,2908,12092,750,0.06202447899437645,0.9999996473285135,814,0.07862407862407862,1.0,nan
adversarial,8,0.1,2867,12133,750,0.061814885024313856,0.9999983601276757,863,0.13093858632676708,1.0,nan
adversarial,9,0.1,2848,12152,750,0.061718235681369325,0.9999931006256212,808,0.07178217821782178,1.0,nan
adversarial,10,0.1,2910,12090,750,0.062034739454094295,0.9999978835978836,805,0.06832298136645963,1.0,nan
adversarial,11,0.1,2972,12028,750,0.06235450615231127,0.9999899509369273,788,0.048223350253807105,1.0,nan
adversarial,12,0.1,2858,12142,750,0.0617690660517213,0.9999994147940074,820,0.08536585365853659,1.0,nan
adversarial,13,0.1,2817,12183,750,0.061561191824673726,0.9999969678416281,803,0.0660024906600249,1.0,nan
adversarial,14,0.1,2800,12200,750,0.06147540983606557,0.9999941775836972,841,0.10820451843043995,1.0,nan
adversarial,15,0.1,2911,12089,750,0.06203987095706841,0.9999972954699121,820,0.08536585365853659,1.0,nan
adversarial,16,0.1,2981,12019,750,0.062401198103003576,0.9999985801757033,830,0.0963855421686747,1.0,nan
adversarial,17,0.1,2858,12142,750,0.0617690660517213,0.999998361423221,800,0.0625,1.0,nan
adversarial,18,0.1,2894,12106,750,0.061952750702131174,0.999998708465422,804,0.06716417910447761,1.0,nan
adversarial,19,0.1,2903,12097,750,0.06199884268826982,0.999998119914221,856,0.12383177570093458,1.0,nan
