dataset,detector,seed,beta,alpha,n_calib,m_test,n_null,spearman_score_degree,n_discoveries,realized_fdr,power,gamma_hat,gamma_at_bh,mean_p,ks_uniform,mean_p_null_p,q_is_monotone,q_kendall_tau,gamma_t0.03731,n_below_t0.03731,gamma_t0.0522,n_below_t0.0522,gamma_t0.07304,n_below_t0.07304,gamma_t0.10218,n_below_t0.10218,gamma_t0.14295,n_below_t0.14295,gamma_t0.2,n_below_t0.2,gamma_t_lo,t_lo
amazon,dominant_pygod,2,0.5,0.1,267,5821,5000,0.8853012657328785,3391,0.8696549690356827,0.53836784409257,3.1136727272727276,10.124523149513417,0.16004179104477612,0.5277432835820896,0.0,True,-0.9211323729436766,14.687751273117128,2740,11.14942528735632,2910,8.357064622124865,3052,6.286944607555294,3212,4.80447708989157,3434,3.714,3714,14.687751273117128,0.03731
amazon,dominant_pygod,2,0.75,0.1,267,5821,5000,0.8497855302368441,2648,0.8734894259818731,0.40803897685749085,3.0259636363636364,10.169163897280967,0.18557985074626865,0.4989313432835821,0.0,True,-0.9211323729436766,11.417850442240685,2130,9.183908045977011,2397,7.560240963855422,2761,5.707574867880211,2916,4.437915355019237,3172,3.567,3567,11.417850442240685,0.03731
amazon,dominant_pygod,2,1.0,0.1,267,5821,5000,0.7799224573497605,0,0.0,0.0,2.828618181818182,nan,0.22735,0.4544,0.0,True,-0.9211323729436766,6.416510318949343,1197,6.747126436781609,1761,5.512048192771085,2013,4.454883538853004,2276,3.9846100034977265,2848,3.215,3215,6.416510318949343,0.03731
amazon,dominant_pygod,2,1.25,0.1,267,5821,5000,0.6494910503068648,0,0.0,0.0,2.5752363636363635,nan,0.2898380597014925,0.40234925373134334,0.0,True,-0.9211323729436766,0.13937282229965156,26,0.8275862068965517,216,1.067907995618839,390,1.475826972010178,754,3.0038474991255684,2147,2.8089999999999997,2809,0.13937282229965156,0.03731
amazon,dominant_pygod,2,1.5,0.1,267,5821,5000,0.4855196176091375,0,0.0,0.0,2.012233333333333,nan,0.36350597014925373,0.3045791044776119,0.0,True,-0.9211323729436766,0.09112838381131062,17,0.11494252873563218,30,0.10131434830230013,37,0.18203170874926597,93,0.5876180482686254,420,1.549,1549,0.09112838381131062,0.03731
amazon,dominant_pygod,2,2.0,0.1,267,5821,5000,-0.020777947315030302,0,0.0,0.0,0.6444,nan,0.594386567164179,-0.16586268656716419,1.0,True,-0.9211323729436766,0.07504690431519699,14,0.09961685823754789,26,0.09857612267250822,36,0.09982384028185555,51,0.1231199720181882,88,0.16599999999999998,166,0.07504690431519699,0.03731
amazon,dominant_pygod,2,2.5,0.1,267,5821,5000,-0.6167706260852474,0,0.0,0.0,0.2744,nan,0.7913723880597016,-0.2056686567164179,1.0,True,-0.9211323729436766,0.06432591798445456,12,0.07279693486590037,19,0.08762322015334065,32,0.09982384028185555,51,0.10912906610703044,78,0.11199999999999999,112,0.06432591798445456,0.03731
amazon,dominant_pygod,2,3.0,0.1,267,5821,5000,-0.8479959604625457,0,0.0,0.0,0.18268666666666666,nan,0.8532925373134327,-0.2114686567164179,1.0,True,-0.9211323729436766,0.048244438488340924,9,0.07662835249042145,20,0.09036144578313254,33,0.08612252887062047,44,0.10213361315145156,73,0.09599999999999999,96,0.048244438488340924,0.03731
amazon,dominant_pygod,3,-0.5,0.1,267,5821,5000,0.9345127485520466,3569,0.9097786494816475,0.392204628501827,3.3556848484848487,10.591643037265339,0.12577462686567165,0.5801313432835822,0.0,True,-0.9211323729436766,15.899222728491019,2966,12.130268199233715,3166,9.01697699890471,3293,7.0072421217459375,3580,5.187827911857293,3708,3.9579999999999997,3958,15.899222728491019,0.03731
amazon,dominant_pygod,3,0.0,0.1,267,5821,5000,0.9179949148305661,3607,0.8954810091488772,0.4591961023142509,3.2964,10.425189908511229,0.1360768656716418,0.565531343283582,0.0,True,-0.9211323729436766,15.491825247922806,2890,11.708812260536398,3056,9.044359255202629,3303,6.805637110980622,3477,5.140258831759357,3674,3.901,3901,15.491825247922806,0.03731
amazon,dominant_pygod,3,0.5,0.1,267,5821,5000,0.8840300840161712,3479,0.8631790744466801,0.5797807551766139,3.1477818181818185,10.049130784708248,0.1602313432835821,0.528931343283582,0.0,True,-0.9211323729436766,14.38756365585634,2684,10.735632183908045,2802,8.428258488499454,3078,6.345664513603444,3242,4.822665267576076,3447,3.7119999999999997,3712,14.38756365585634,0.03731
amazon,dominant_pygod,3,0.75,0.1,267,5821,5000,0.8476637009789202,2709,0.8722775932078257,0.42143727161997563,2.9918545454545455,10.155055740125507,0.18695671641791042,0.4905313432835821,0.0,True,-0.9211323729436766,11.766282497989815,2195,9.206896551724137,2403,7.423329682365828,2711,5.760422783323547,2943,4.463098985659322,3190,3.5799999999999996,3580,11.766282497989815,0.03731
amazon,dominant_pygod,3,1.0,0.1,267,5821,5000,0.7758029322060563,0,0.0,0.0,2.8213090909090908,nan,0.22937164179104474,0.44873731343283585,0.0,True,-0.9211323729436766,4.165103189493434,777,6.126436781609194,1599,5.421686746987953,1980,4.5644940301428845,2332,4.060160895417979,2902,3.2629999999999995,3263,4.165103189493434,0.03731
amazon,dominant_pygod,3,1.25,0.1,267,5821,5000,0.6407088943953649,0,0.0,0.0,2.5736121212121215,nan,0.2920589552238806,0.39261791044776123,0.0,True,-0.9211323729436766,0.09648887697668185,18,0.636015325670498,166,0.7749178532311063,283,1.3975337639459777,714,2.7436166491780343,1961,2.821,2821,0.09648887697668185,0.03731
amazon,dominant_pygod,3,1.5,0.1,267,5821,5000,0.47417023914622203,0,0.0,0.0,1.958716049382716,nan,0.36684402985074627,0.2943791044776119,0.0,True,-0.9211323729436766,0.07504690431519699,14,0.10344827586206896,27,0.09583789704271634,35,0.14288510471716578,73,0.5022735222105632,359,1.5459999999999998,1546,0.07504690431519699,0.03731
amazon,dominant_pygod,3,2.0,0.1,267,5821,5000,-0.03304579811371974,0,0.0,0.0,0.6248,nan,0.5932111940298508,-0.17246268656716418,1.0,True,-0.9211323729436766,0.04288394532296971,8,0.08045977011494251,21,0.09857612267250822,36,0.09003718927383049,46,0.10353270374256734,74,0.13299999999999998,133,0.04288394532296971,0.03731
amazon,dominant_pygod,3,2.5,0.1,267,5821,5000,-0.6152445635861136,0,0.0,0.0,0.254,nan,0.7848402985074627,-0.2122686567164179,1.0,True,-0.9211323729436766,0.04288394532296971,8,0.06896551724137931,18,0.09583789704271634,35,0.09199451947543551,47,0.09094088842252536,65,0.08999999999999998,90,0.04288394532296971,0.03731
amazon,dominant_pygod,3,3.0,0.1,267,5821,5000,-0.8501735699629419,0,0.0,0.0,0.16508799999999998,nan,0.8506111940298507,-0.2170686567164179,1.0,True,-0.9211323729436766,0.037523452157598496,7,0.0842911877394636,22,0.08488499452354875,31,0.07829320806420043,40,0.08534452605806227,61,0.08099999999999999,81,0.037523452157598496,0.03731
amazon,dominant_pygod,4,-0.5,0.1,267,5821,5000,0.9352760906712246,3490,0.9131805157593124,0.3690621193666261,3.361369696969697,10.631247564469913,0.12624701492537313,0.581531343283582,0.0,True,-0.9211323729436766,15.582953631734119,2907,11.494252873563218,3000,8.800657174151151,3214,6.743002544529261,3445,5.176635187128367,3700,3.924,3924,15.582953631734119,0.03731
amazon,dominant_pygod,4,0.0,0.1,267,5821,5000,0.9192303624299769,3362,0.9071980963712076,0.3800243605359318,3.2964,10.561600237953598,0.13631119402985073,0.565531343283582,0.0,True,-0.9211323729436766,15.550790672741892,2901,11.337164750957854,2959,8.82803943044907,3224,6.715599921706792,3431,5.071703392794683,3625,3.9090000000000003,3909,15.550790672741892,0.03731
amazon,dominant_pygod,4,0.5,0.1,267,5821,5000,0.8863992004197339,3383,0.8805793674253621,0.4920828258221681,3.122606060606061,10.251704995566065,0.15787611940298507,0.5277432835820896,0.0,True,-0.9211323729436766,14.75207719110158,2752,11.034482758620689,2880,8.400876232201535,3068,6.30064591896653,3219,4.801678908709339,3432,3.7419999999999995,3742,14.75207719110158,0.03731
amazon,dominant_pygod,4,0.75,0.1,267,5821,5000,0.8511626668839513,2620,0.8843511450381679,0.3690621193666261,3.0503272727272726,10.295616030534351,0.18248432835820894,0.504931343283582,0.0,True,-0.9211323729436766,11.873492361297238,2215,9.168582375478927,2393,7.428806133625411,2713,5.774124094734781,2950,4.517663518712837,3229,3.6189999999999998,3619,11.873492361297238,0.03731
amazon,dominant_pygod,4,1.0,0.1,267,5821,5000,0.78144717749455,0,0.0,0.0,2.848109090909091,nan,0.223394776119403,0.45846865671641795,0.0,True,-0.9211323729436766,5.907263468239078,1102,6.206896551724138,1620,5.821467688937569,2126,4.59776864357017,2349,4.151101783840504,2967,3.272,3272,5.907263468239078,0.03731
amazon,dominant_pygod,4,1.25,0.1,267,5821,5000,0.6491461437376965,0,0.0,0.0,2.6036606060606062,nan,0.28568507462686565,0.41148059701492534,0.0,True,-0.9211323729436766,0.17153578129187885,32,0.7586206896551724,198,0.859802847754655,314,1.3662164807202974,698,3.114375655823715,2226,2.8699999999999997,2870,0.17153578129187885,0.03731
amazon,dominant_pygod,4,1.5,0.1,267,5821,5000,0.4781685982978342,0,0.0,0.0,2.0526535211267602,nan,0.3589223880597015,0.3141850746268657,0.0,True,-0.9211323729436766,0.09648887697668185,18,0.10727969348659003,28,0.09857612267250822,36,0.1644157369348209,84,0.5456453305351522,390,1.5699999999999998,1570,0.09648887697668185,0.03731
