p_an,seed,n_calib,mean_calib_exposure,n_discoveries,realized_fdr,power
0.01,2,2794,0.14319145882393586,150,0.12666666666666668,0.17466666666666666
0.01,3,2794,0.14348289558562466,137,0.12408759124087591,0.16
0.01,4,2794,0.14389633152383793,164,0.18292682926829268,0.17866666666666667
0.01,5,2794,0.14363983002521985,227,0.20704845814977973,0.24
0.01,6,2794,0.14323889396034603,119,0.13445378151260504,0.13733333333333334
0.01,7,2794,0.1430393394569173,0,0.0,0.0
0.01,8,2794,0.14380913495611655,96,0.10416666666666667,0.11466666666666667
0.01,9,2794,0.14328078122098434,49,0.02040816326530612,0.064
0.01,10,2794,0.14344534659699323,53,0.05660377358490566,0.06666666666666667
0.01,11,2794,0.1425304386641664,0,0.0,0.0
0.01,12,2794,0.14383199636238847,145,0.19310344827586207,0.156
0.01,13,2794,0.14325424229797246,105,0.1523809523809524,0.11866666666666667
0.01,14,2794,0.1442234130216905,54,0.018518518518518517,0.07066666666666667
0.01,15,2794,0.14290044839158192,0,0.0,0.0
0.01,16,2794,0.14219021557677894,209,0.1722488038277512,0.23066666666666666
0.01,17,2794,0.143356555009227,136,0.10294117647058823,0.16266666666666665
0.01,18,2794,0.14323446498600106,0,0.0,0.0
0.01,19,2794,0.14284703359488318,91,0.10989010989010989,0.108
0.02,0,2794,0.231312732813701,0,0.0,0.0
0.02,1,2794,0.2302123300486737,0,0.0,0.0
0.02,2,2794,0.23084509067452594,0,0.0,0.0
0.02,3,2794,0.2311093380810493,100,0.18,0.10933333333333334
0.02,4,2794,0.2313415189334296,0,0.0,0.0
0.02,5,2794,0.23121125912697693,49,0.04081632653061224,0.06266666666666666
0.02,6,2794,0.23076635806407086,71,0.2112676056338028,0.07466666666666667
0.02,7,2794,0.2314655773669032,49,0.061224489795918366,0.06133333333333333
0.02,8,2794,0.23026535802573675,70,0.1,0.084
0.02,9,2794,0.23184229689233107,0,0.0,0.0
0.02,10,2794,0.23167248983502228,121,0.2066115702479339,0.128
0.02,11,2794,0.23096253607173473,0,0.0,0.0
0.02,12,2794,0.23161854568539722,57,0.15789473684210525,0.064
0.02,13,2794,0.23061591623034267,0,0.0,0.0
0.02,14,2794,0.23198597008209393,179,0.24022346368715083,0.18133333333333335
0.02,15,2794,0.22998981546825648,0,0.0,0.0
0.02,16,2794,0.23134170456169179,0,0.0,0.0
0.02,17,2794,0.23063319796627135,0,0.0,0.0
0.02,18,2794,0.231211841879449,59,0.05084745762711865,0.07466666666666667
0.02,19,2794,0.23076067502085937,0,0.0,0.0
0.05,0,2794,0.4036605839943931,0,0.0,0.0
0.05,1,2794,0.40361642761113625,0,0.0,0.0
0.05,2,2794,0.40266332437040986,0,0.0,0.0
0.05,3,2794,0.4037922954156024,0,0.0,0.0
0.05,4,2794,0.40316674293033117,0,0.0,0.0
0.05,5,2794,0.40349645390223576,0,0.0,0.0
0.05,6,2794,0.4027273204044237,0,0.0,0.0
0.05,7,2794,0.4034807112979503,0,0.0,0.0
0.05,8,2794,0.40254775631345335,0,0.0,0.0
0.05,9,2794,0.40374451010563484,0,0.0,0.0
0.05,10,2794,0.4032615728995022,0,0.0,0.0
0.05,11,2794,0.4024579840956961,0,0.0,0.0
0.05,12,2794,0.40276585812110666,0,0.0,0.0
0.05,13,2794,0.4030741071517795,0,0.0,0.0
0.05,14,2794,0.403925152801068,0,0.0,0.0
0.05,15,2794,0.40323265735441904,0,0.0,0.0
0.05,16,2794,0.402114302719912,0,0.0,0.0
0.05,17,2794,0.40282574869484966,0,0.0,0.0
0.05,18,2794,0.4030970199636162,0,0.0,0.0
0.05,19,2794,0.4033678987554522,0,0.0,0.0
