dataset,detector,seed,strategy,alpha,n_calib,m_test,n_null,in_matched_frame,bh_min_rank,calib_frac_anomalous,calib_mean_exposure,calib_mean_degree,test_mean_degree,score_gap_cohens_d,ks_calib_vs_test,spearman_score_degree,spearman_score_exposure,spearman_score_exposure_p,gamma_t_lo,t_lo,gamma_hat,mean_p,ks_uniform,mean_p_null_p,n_discoveries,realized_fdr,power
weibo,gae,2,clean,0.1,1770,2347,2000,True,13.252399774138903,0.0,0.0,82.85875706214689,88.0775,-0.10298672464374486,0.030319209039548024,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,2.7433628318584073,0.00565,1.0018284258210646,0.5070511010728402,0.0009116318464144624,0.745,47,0.40425531914893614,0.08069164265129683
weibo,gae,2,weighted,0.1,1770,2347,2000,True,13.252399774138903,0.0,0.0,82.85875706214689,88.0775,-0.10298672464374486,0.030319209039548024,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,2.6548672566371683,0.00565,1.019575706214689,0.5062999180242544,0.009782326369282834,0.735,47,0.40425531914893614,0.08069164265129683
weibo,gae,2,random,0.1,1770,2347,2000,True,13.252399774138903,0.0,0.03326612246174,82.99887005649718,88.0775,-0.022778135302250518,0.023059322033898304,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,1.3274336283185841,0.00565,1.0467801624129929,0.5023418972332016,0.022769339356295826,0.61,0,0.0,0.0
weibo,gae,2,exposed_only,0.1,1770,2347,2000,True,13.252399774138903,0.0,0.1112109782663962,107.67231638418079,88.0775,0.12119019133403205,0.06825706214689266,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,0.5309734513274337,0.00565,1.08169490521327,0.4851674195369848,0.0389330886504799,0.055,0,0.0,0.0
weibo,gae,2,true_contam_05,0.1,1770,2347,2000,True,13.252399774138903,0.04971751412429379,0.031479486986304955,88.33559322033898,88.0775,0.035261547392619906,0.0325819209039548,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,0.7964601769911505,0.00565,1.0035666666666665,0.5102744212309429,0.0017823263692828273,0.84,0,0.0,0.0
weibo,gae,2,true_contam_10,0.1,1770,2347,2000,True,13.252399774138903,0.1,0.03502512951533276,82.13672316384181,88.0775,0.09941911845543316,0.05555084745762712,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,0.08849557522123895,0.00565,0.9476403508771929,0.522755505364201,-0.023592885375494088,0.99,0,0.0,0.0
weibo,gae,2,random_full,0.1,4000,2347,2000,False,5.866033491627093,0.0,0.03323667741802845,86.92325,88.0775,-2.0263692587781782e-05,0.01575,-0.09087639244653221,-0.0012654531575369593,0.9095726840815329,1.4,0.0025,1.0248916540975364,0.5030276180954761,0.01237428142964253,0.615,12,0.08333333333333333,0.03170028818443804
weibo,gae,3,clean,0.1,1753,2347,2000,True,13.38084378563284,0.0,0.0,83.70907016543069,81.8445,-0.08026521388274752,0.0336622932116372,-0.0902879748343774,0.007673294309119123,0.49100766711731353,2.8947368421052633,0.0057,1.0498788501026692,0.49827708095781076,0.015582668187001159,0.5,16,0.0625,0.043227665706051875
weibo,gae,3,weighted,0.1,1753,2347,2000,True,13.38084378563284,0.0,0.0,83.70907016543069,81.8445,-0.08026521388274752,0.0336622932116372,-0.0902879748343774,0.007673294309119123,0.49100766711731353,3.157894736842105,0.0057,1.090172707889126,0.49419291113068786,0.024111174458380846,0.275,16,0.0625,0.043227665706051875
weibo,gae,3,random,0.1,1753,2347,2000,True,13.38084378563284,0.0,0.03294404534550046,94.92241871078151,81.8445,0.052479902830142186,0.021101825442099258,-0.0902879748343774,0.007673294309119123,0.49100766711731353,0.9649122807017543,0.0057,1.0467051948051949,0.4999757696693273,0.020732041049030814,0.555,0,0.0,0.0
