condition,seed,alpha,n_calib,n_discoveries,realized_fdr,power
adversarial,25,0.1,2918,138,0.12318840579710146,0.16133333333333333
adversarial,26,0.1,2852,197,0.14720812182741116,0.224
adversarial,27,0.1,2922,217,0.15668202764976957,0.244
adversarial,28,0.1,2963,68,0.029411764705882353,0.088
adversarial,29,0.1,2878,183,0.1092896174863388,0.21733333333333332
adversarial,30,0.1,2796,126,0.047619047619047616,0.16
adversarial,31,0.1,2848,232,0.16810344827586207,0.25733333333333336
adversarial,32,0.1,2866,93,0.07526881720430108,0.11466666666666667
adversarial,33,0.1,2908,0,0.0,0.0
adversarial,34,0.1,2814,133,0.12030075187969924,0.156
adversarial,35,0.1,2907,66,0.030303030303030304,0.08533333333333333
adversarial,36,0.1,2873,89,0.10112359550561797,0.10666666666666667
adversarial,37,0.1,2855,154,0.1038961038961039,0.184
adversarial,38,0.1,2879,0,0.0,0.0
adversarial,39,0.1,2940,153,0.13725490196078433,0.176
