sigma,cross_multiplier,theta,neighbor_noise_fraction,all_null,method,independent_repetitions,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,null_tail001_mean,null_tail001_mcse,n_calib_mean,n_calib_mcse,edges_mean,edges_mcse,clipped_probability_fraction_mean,clipped_probability_fraction_mcse
0.0,1.0,2.0,0.5,0,matched_random,500,0.04528781036256175,0.0046214589259823595,0.09846666666666666,0.00887829133352216,3.882,0.35492547977340927,0.010414814814814814,0.0004545674148839607,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.5,0,mixture_half,500,0.07652083991701147,0.0058436193917876115,0.16306666666666667,0.010833072398070192,6.56,0.4453419572843274,0.013977777777777778,0.000566128734678959,200.0,0.0,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.5,0,partial_filtered,500,0.03470284129236241,0.00445128353814038,0.07,0.008213093803168163,2.94,0.3509631751346588,0.00697037037037037,0.00040707583519553704,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,1.0,2.0,0.5,0,partial_random,500,0.02210864895596019,0.003599507075528926,0.04786666666666666,0.006881945632210613,1.948,0.2833569733546316,0.005814814814814815,0.00033886241312825583,162.324,0.5754966905914954,7198.766,3.813227490694934,0.0,0.0
0.0,4.0,0.0,0.0,0,oracle_filtered,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.0,0,matched_random,500,0.0012771084337349396,0.0012771084337349396,0.002,0.002,0.166,0.166,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.0,0,mixture_half,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.0,0,partial_filtered,500,0.06496751148709055,0.003565061880024707,0.6713333333333332,0.019299719702197467,22.412,0.659948160956829,0.006740740740740742,0.0004375249978426219,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.0,0,partial_random,500,0.06314564179105195,0.003631488270156156,0.6541333333333335,0.019637021461780996,21.85,0.6722133154609227,0.007103703703703704,0.0004709224781269789,112.262,0.6926834288947085,7201.184,3.7667244010448724,0.0,0.0
0.0,4.0,0.0,0.5,0,oracle_filtered,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.458,0.2506274131063895,7201.184,3.7667244010448724,0.0,0.0
