dataset,model,method,budget,seed,discoveries,true_discoveries,fdp,power,nonempty,audit_labels,certificate_failure,bound_failure
amazon,hgb_attributes,fixed_score_cs,100,6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,100,7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,100,8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,100,9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,1,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,2,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,3,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,4,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,5,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,6,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,7,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,8,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,250,9,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,1,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,2,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,3,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,4,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,5,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,6,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,7,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,8,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,fixed_score_cs,500,9,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,100,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,100,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,100,8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,100,9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,250,0,80.52,78.84,0.005009049926921651,0.10654054054054055,0.24,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,1,73.8,72.26,0.004591969871769142,0.09885088919288645,0.22,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,2,87.52,85.46,0.006119165313589036,0.11674863387978142,0.26,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,3,141.16,139.06,0.006249723309015802,0.18665771812080537,0.42,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,4,114.84,112.12,0.008056049584044364,0.15275204359673025,0.34,250.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,250,5,47.22,45.96,0.0037358893935548147,0.061940700808625335,0.14,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,6,108.02,105.14,0.008534572624345734,0.14,0.32,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,7,87.9,85.86,0.006032163083879814,0.1146328437917223,0.26,250.0,0.0,0.04
amazon,hgb_attributes,uniform_fixed,250,8,101.3,99.22,0.006159761479711483,0.13390013495276654,0.3,250.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,250,9,13.38,12.86,0.0015545903045903048,0.017238605898123326,0.04,250.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,500,0,234.82,230.32,0.01640943294777904,0.31124324324324326,0.86,500.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,500,1,239.98,235.72,0.015800158649980488,0.3224623803009576,0.92,500.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,500,2,239.04,234.58,0.01619400645057856,0.3204644808743169,0.96,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,500,3,268.68,265.14,0.01289486498542421,0.35589261744966444,0.98,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,500,4,225.0,220.44,0.016918710806937576,0.30032697547683923,0.86,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,500,5,148.82,145.24,0.012980220255305952,0.19574123989218328,0.54,500.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,500,6,183.5,179.0,0.01663413862366025,0.23834886817576564,0.68,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,500,7,249.92,244.34,0.020378468584607637,0.3262216288384513,0.92,500.0,0.0,0.0
amazon,hgb_attributes,uniform_fixed,500,8,248.86,244.12,0.017147600661234552,0.32944669365722,0.9,500.0,0.0,0.02
amazon,hgb_attributes,uniform_fixed,500,9,104.08,100.12,0.015041716254631365,0.13420911528150137,0.4,500.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,6,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,100,9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,250,0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,250,1,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
amazon,hgb_graph_features,adaptive_degree,250,2,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
