seed,trim,method,repetitions,n_calib,pool_size,fdp_mean,fdp_mcse,power_mean,power_mcse,discoveries_mean,discoveries_mcse,tail001_mean,tail001_mcse,tail005_mean,tail005_mcse,tail001_exact,tail001_error,tail001_zerror,tail005_exact,tail005_error,tail005_zerror
2,0.01,exposed_only,200,1770,1770,0.0,0.0,0.0,0.0,0.0,0.0,0.004499999999999999,6.148564340033441e-20,0.023499999999999997,2.4594257360133763e-19,0.0045,-8.673617379884035e-19,-8.673617379884035e-07,0.0235,-3.469446951953614e-18,-3.469446951953614e-06
2,0.01,random_full,200,4000,5977,0.052302631578947364,0.003935191717112671,0.03328530259365994,0.00025082605488515556,12.295,0.1479843635635079,0.012317499999999999,3.384443794627852e-05,0.04715,0.0001734587550355775,0.012291702639191505,2.5797360808493472e-05,0.7622333941382562,0.0473557076665609,-0.0002057076665609031,-1.1859168856522184
2,0.05,clean,200,1638,4017,0.033796533141899586,0.0019112215822605183,0.22688760806916428,0.0002244479339000572,81.575,0.23600927287804202,0.008035,0.00012453481279541857,0.04528499999999999,0.00017173040400083928,0.00801535881603414,1.9641183965860703e-05,0.15771641298507072,0.04538215799685331,-9.715799685331566e-05,-0.5657588556819608
2,0.05,random,200,1638,5655,0.02221508979217857,0.0013837076727165655,0.22554755043227664,0.00018326571491464883,80.09,0.17133674855977385,0.0058375,0.00015433181882394678,0.04416499999999999,0.00019629450492389386,0.005959164725484346,-0.00012166472548434584,-0.7883320912788194,0.044150777684364186,1.422231563580345e-05,0.07245396727390634
2,0.05,exposed_only,200,1638,1638,0.012658227848101269,2.4594257360133763e-19,0.22478386167146971,1.967540588810701e-18,79.0,0.0,0.003,0.0,0.03949999999999999,4.918851472026753e-19,0.003,0.0,0.0,0.0395,-6.938893903907228e-18,-6.938893903907228e-06
2,0.05,random_full,200,4000,5655,0.021336311906041506,0.000971937640458678,0.22685878962536016,9.172532324142876e-05,80.455,0.09944506829421056,0.006462500000000001,9.316715809089417e-05,0.04453249999999999,4.194958388279554e-05,0.006444391815897292,1.810818410270896e-05,0.19436231042963184,0.04451341034525629,1.908965474369667e-05,0.4550618379679748
3,0.0,clean,200,1793,4265,0.056257636481445925,0.012324961473430127,0.006844380403458212,0.0015820742151941617,5.72,1.297604286530416,0.025165000000000003,0.00011643306356639974,0.0752775,0.0003262913559918113,0.025006034337354967,0.00015896566264503656,1.365296572776179,0.07514735015176777,0.00013014984823223053,0.39887617567011735
3,0.0,random,200,1793,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.010975000000000002,0.00014630069881023058,0.050875000000000004,0.0003171352215439316,0.011041068891333059,-6.60688913330567e-05,-0.4515965533340064,0.05077706210597198,9.793789402802455e-05,0.3088206145984878
3,0.0,exposed_only,200,1793,1793,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.020999999999999998,2.4594257360133763e-19,0.0055,0.0,0.0,0.021,-3.469446951953614e-18,-3.469446951953614e-06
3,0.0,random_full,200,4000,6058,0.0,0.0,0.0,0.0,0.0,0.0,0.011814999999999999,5.041411423969348e-05,0.05173,9.731573232933078e-05,0.011770801892830196,4.419810716980305e-05,0.8767010555747051,0.05162024989092549,0.00010975010907450511,1.1277735515887048
3,0.01,clean,200,1753,4224,0.0991717831024413,0.009393739478496331,0.03471181556195965,0.002533367041246459,15.98,1.3190898339194903,0.01748,0.00016027771125024868,0.0590125,0.0002977182384360882,0.017486144373820196,-6.144373820196614e-06,-0.03833579711281958,0.0589595536160357,5.2946383964302957e-05,0.1778405792081464
3,0.01,random,200,1753,5977,0.009187499999999998,0.0016149042948394145,0.005749279538904899,0.0010106600883030223,2.135,0.3752839795763112,0.007685000000000001,0.00012542941317108286,0.040279999999999996,0.00022605531408291564,0.007784910319483412,-9.991031948341101e-05,-0.7965461765107329,0.04043788317464981,-0.000157883174649813,-0.69842717606675
3,0.01,exposed_only,200,1753,1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000005,3.0742821700167204e-20,0.018999999999999996,2.4594257360133763e-19,0.002,4.336808689942018e-19,4.336808689942018e-07,0.019,-3.469446951953614e-18,-3.469446951953614e-06
